Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,Total
t10,0.003028030017864416,-0.0015634805712679376,-0.0007624517084392422,-1206.7010408698975,-713.528684144423,-2587.273954792736,-0.006106897657993272,-0.00018000980064318805,-1167.726019531309,-2784.7933638598106,-759.9956534446355,-0.007903699297158529,3.354819634450991e-12,1038.99403918737,1.5333842871870315e-6,-3.18783276917264e-5,-1.3453679850025683e-6,2194.491978070878,5.3537795252693115e-12,4383.91325822583,2705.328625438421,-3.109154390821988e-12,6.470376322261273e-7,-0.006833482305075501,-4800.984023936439,-549.1628870143543,890.9893927844076,199.9942818868853,-1.2705738622990784e-5,2.353849937377935e-12,5511.990583843895,-0.0010015382508566353,0.28062683617850676,7.593687659962047e-5,-293.73773468424275,2.7333391668865747e-6,-8464.096001923228,-44.80554009848083,999.9889691142064,0.013359610651327554,1218.9961262135605,0.018837759716454235,-2785.395117798441,-4736.295257005562,-0.0007099288171343232,0.004959817419982427,-1017.0883221582778,-1569.9412888542297,10499.063744058549,1359.6515643025002,-0.0018216528569473284,-215.98680286433824,7.5093300411028e-7,3195.9952156457525,-5745.14421279687,9.285470098325818e-13,-0.0021385250170653397,-5242.966300945177
t11,-0.004506993981230714,-0.0022536128420523904,-0.0007609793209435002,-2459.8855198763563,-5384.967711270192,-4.859554639249007e-5,6.022595993678637e-6,2.5673154563827953e-5,-852.6036492676229,-2159.1848505976236,-759.9956990721937,-0.008029291899378954,4.097927149891061e-12,1038.9940463491275,3.9745869764759014e-7,-2.7679437200286462e-5,-5.327374589860786e-7,2194.492001695168,3.6374951461545325e-12,4162.451870079448,2721.9982386641836,-4.060307407827683e-12,1.5174528592845358e-6,-0.006795488047513199,-4800.98395146247,-2819.8034987087617,890.9893929368702,199.99428110806844,-5.070977886547275e-6,3.0876981751817863e-13,5511.990692033909,-0.0009925747531765274,0.27194955423023437,0.000119477793557521,-1001.4701375994697,-2.724383711842285e-7,-8464.093463218145,-0.0028338534328462422,999.9952673448477,0.013474261433322693,1218.996127130581,0.01895959200881951,-2785.395120655985,-4736.295210556141,-0.001007439176756284,0.005131391749984161,-1547.4896593197002,-1172.7806097603395,9436.63169453288,1359.6915103669369,1164.6287168774588,-215.98680970695688,7.193058820707721e-7,3195.9952499522597,-10398.220493450151,4.238425347445344e-12,-0.0005704445958702307,-15462.025459672372
t12,-0.004474516727551452,-5919.988201897079,-0.0007574993812517734,-727.9320451367969,-937.6726404039491,-1866.9902793041574,2.3955948180337526e-5,0.002305480886531235,-0.0003515314560539417,-3089.6793817895614,-759.9957624251381,-0.008510593304814004,3.7618829420000526e-12,1038.9957497413682,2.416180709460613e-6,-1.5930167266562097e-5,1.7153278273819227e-6,2194.4929841160824,3.2702836274992565e-12,4891.657844554182,3744.9584242901265,-3.803295336125592e-12,1.7535219730223085e-6,-341.85175889489136,-4800.991316100908,-4091.982521580724,890.9102377421451,199.99427737503163,-2.6795688818095685e-6,7.768040844206302e-13,5511.992112098774,-0.001005204641827203,0.326785773568397,-0.0005495184571885672,-1225.31964571825,1.2895257449899396e-6,-8464.093510210889,-0.0028331842718414707,999.9952318347265,0.01347118798269072,1218.9961282930067,140.70864278507673,-2785.3946765827263,-4736.294809717158,-0.000759284149655429,0.005382233540517717,-2729.2233067030415,-521.1111300468987,1880.5959588599967,1359.6981330140381,4270.497201491487,-215.97967681915847,3.5899620862182815e-7,3195.9946913857807,-16528.986308822674,4.46268195203059e-12,1318.392092315545,-26885.278546033274
t13,-0.004456021417208967,-5919.995416800065,-0.0007504299562039582,-63.04958654989867,-0.0069145682133341605,-3674.9930164847683,4.8658553408558245e-5,1592.4036690681464,0.004403044184344419,-3599.996409443027,-759.9923233499721,-0.0031846608959789067,-1.0550427106139754e-12,1038.996749416603,-0.0003727732008861318,-0.0018345876669564486,-0.0002601644737882036,2194.4953061856004,3.551122252619573e-12,4891.679717677896,3422.2738962457456,6.486996466051037e-13,-1.4905845463097458e-5,-962.3727353585963,-4800.994158388342,-4091.9938919606348,0.001329845541809207,199.99427936368335,2.699198166777615e-5,1.3000702223176684e-12,5511.994090213268,-0.0010814778142730803,0.0050553019108868546,-268.04809237178097,-836.1186530446965,-3.0273496470535215e-5,-8464.090564629278,-0.002775679736721177,999.9952990739428,0.003941214456561617,1218.9961453857768,1260.867797820003,-2785.3868454861904,-4736.292923690117,-0.0002320729460557949,-721.8053338505609,-3371.983342728443,-1525.0494035612176,890.0989883973842,1359.6981767060754,4115.376581947915,-215.9801147484163,6.340974028575108e-7,3195.9947160855445,-16528.99786192419,3.2408662184740837e-12,2292.87965725454,-29141.402705453
t14,-0.004461289247261661,-5919.987877002645,6.83977189137093e-5,-2.3797995466683517e-6,-0.007259833684044948,-2080.76796989866,0.0020503896433119702,2668.701116722852,0.000520008315796254,-3599.9964184575556,-759.9944975843792,-0.0031899323965893195,-1.170562869112302e-12,1038.9977664951336,0.001131070387271258,-0.0018042714089065025,-0.0002592731711670732,2194.4967719114707,4.291789843474389e-12,4891.679104476662,2588.7209549458025,9.609839571448247e-13,-2.9421015819946724e-5,-1305.9823969544102,-4800.996857258448,-4091.996762791453,-531.7884155514005,199.9954141165829,-0.00865060616804977,1.7750337764478675e-12,5511.994737747099,-6.344239094210512e-5,0.0400382224052095,-85.10642247964667,-1254.981662488042,-4.284252893364751e-5,-8464.093475910737,-0.0027753852257918193,999.9952854869101,0.01343293333479173,1218.9961516524245,2324.747272787064,-2785.395447244898,-4736.296415443574,-0.009038769744085882,-1395.1546491050256,-3371.9938513117486,-2648.7903514800987,20.822523836318137,1359.698182215859,4270.496917386197,-215.98080134983272,1.0292369024708678e-6,3195.994744982696,-16528.99238988943,2.64569604186154e-12,812.7174783109701,-31280.222574523676
t15,-0.004492067128837157,-5919.996604832208,0.0009273154826332727,-1.0228997633822864e-5,-0.0071843472314803425,-3674.9954374246818,2263.4124711152513,2857.9973025534196,2035.2928373947643,-3599.9964176876174,-759.9947625680912,-0.0031899807640219024,-1.1120081663950105e-12,1038.9978013918621,0.0011396916179236796,-0.0017761786545816337,-0.00024669045666135764,2194.49678045143,4.798969512892576e-12,4891.693414143961,2546.9840633493,9.270478812467508e-13,-2.61049451667847e-5,-1305.9819878290673,-4800.995585017398,-4091.99682384581,-796.6455605115545,199.9971504110725,-0.00859239145217622,2.476500459850351e-12,5511.9947455678,-0.0009850499751813168,309.7351129691205,-0.03580495079603494,-1254.9814060214417,-3.3109699294013054e-5,-8464.095972794348,-142.92560168080325,999.9893907833477,0.01399371825299856,1218.9961477062636,2504.4523511907073,-2785.395434784388,-4736.296456965546,-0.00892779005451041,-402.1989342012715,-3371.9843814900423,-1748.7216535666364,0.002996697999209201,1359.6978200761237,4270.495707739081,-215.98107494177975,9.887702577303107e-7,3195.994741892558,-16528.99238252456,1.585065562801183e-12,1236.0880767345775,-25965.912773694632
t16,-0.0044981042547207134,-5919.992411916325,895.434805629196,-1.604532293554981e-5,-0.0009725508892683604,-3674.981579154684,3674.996336840085,2857.997771965202,427.6401004972653,-3599.9964173923254,-759.9947637383502,-0.0032301552103685995,-1.06921507575811e-12,1038.9982102177241,-0.00031951890883164837,-1951.1342357848412,-0.00019233107421008758,2194.495838913639,4.927158095175745e-12,4891.691433429395,3306.9612983362317,7.073877561082094e-13,0.002306110377425801,-1305.9960591969113,-4800.997233877529,-4091.997586514187,-890.994992660627,199.9983068924068,-0.008584653192906317,3.166058156796193e-12,5511.995747399994,-399.95390019636665,378.3042590665905,0.00041707221908491833,-1242.9361634823385,0.0036063231075853987,-8464.096327283787,-0.05431883824782061,617.7372988357407,1281.6475027522056,1218.9941980890121,2678.9885551043526,-2785.3954296260963,-4736.29574755809,-0.0009088018899861974,-0.001000126880566699,-3371.9182794783724,-1272.2561879724462,1616.130024254129,1359.697590781864,4270.494675608005,-0.008461962546862356,1.090179682323929e-6,3195.990228189294,-16528.9924655816,4.937667822606481e-13,0.001647278166752148,-24179.8101238269
t17,-0.0014873298068429936,-511.09253930984556,0.0025712906773077302,-0.001689349285294834,-0.0008408414126558029,-455.16333480822874,3674.9840560034495,2857.995443055122,0.0021324210003682686,-3599.9963912553785,-0.027224540265633125,0.0004508649754914404,-6.147385844696343e-13,1038.998047318369,-0.001301865568312387,-1332.903869270916,0.0008535818128718659,2194.4948220930937,4.822717948633002e-12,4891.694066421674,378.2757529005106,-5.828489562796063e-14,1333.3197788208063,-1305.9960652347743,-4800.99618773092,-4091.997216456369,-890.9949825636952,199.9983290612393,-0.001706694821396602,3.744263704154107e-12,5511.99573882399,-399.9682117938589,942.1564133974942,0.00042350947565068564,-304.44683377097004,1829.0994666224426,-8464.095905081766,-2419.571852848413,0.0013340029024786063,0.005138567117062476,796.1505018922911,0.003411789514903484,-2785.395441956468,-4736.295802408043,-6.570620269146212e-7,0.00014362608768112806,0.0018570666561751796,0.0013727351905873208,6152.035287209526,1359.6969010444361,4270.489112455956,-0.0030110285711004658,-4.418306028626357e-6,3195.9723180480346,-16528.992417125024,1.1151117321434997e-12,0.0005426782714196884,-12000.568051037644
t18,-0.0015393684454258932,-5451.970715174413,3164.573627559516,-0.0001302048359462401,-8.16267500420692e-5,-1610.8530391694817,3674.9948907913013,2857.997052218006,0.03406872260812633,-0.0003492504944343477,-0.028326142805043565,0.00041736089351141257,-6.512519897040692e-13,1038.9950063540996,-0.001264893676208722,-528.2834047386673,-0.0032997205955007593,1785.822880790218,4.905819949652091e-12,0.0013070870585908348,1607.741210302029,-1.1651722264683292e-13,205.36953687318913,-1305.9904730428018,-4800.995519078027,-3840.010773668484,0.011981170969974312,199.99598600564565,-0.00118887416404696,4.410874138012702e-12,4120.6880805415685,-399.9681829420421,1268.9003795038436,0.00045989934568657875,-254.99502372209432,-0.002600623434286069,-8464.096775409736,-5961.168347861328,999.9958322543433,596.7474187379719,1218.9975727854355,3332.9948437200924,-2785.386568421762,-4736.293200217902,-1.7999335306546832e-5,-949.0821800486204,-1088.7218176023462,-0.0037903534479140364,0.010807779030033634,1359.6965119138815,4270.493771081208,-0.017720440750025837,-0.0002130792582306194,3195.991609254603,-15120.449758939449,2.9114250755528687e-12,0.0005592313441912561,-22398.270490676936
t19,-0.001506576170847442,-3271.111120341228,0.004998589601964157,-0.0016697435509044109,-5.399598523007064e-6,-2757.976480330945,3674.9924526678433,2857.9964399655228,1039.6022742594841,-1115.191587012031,-0.000356394125253538,0.002798496120251799,-3.429715395337452e-13,1038.9892933972392,-0.002722120161924458,-1597.2606689334955,-0.15955927186362973,0.02387041338531514,4.0003053741000785e-12,0.0006931974457292095,3325.8131486952984,-1.4864741175910703e-12,-0.001958202465994687,-1212.3977615706535,-4800.992586706008,-0.0015546643963729552,0.015131058581990273,199.996227249807,0.0015503761188389383,5.281567346125564e-12,5511.982117017092,-399.98965701412664,0.035711711829506616,551.703862458782,-0.004044730565937945,-0.09050549974689724,-8464.095960499093,-6929.993045307588,999.9891625477514,-4.141463621443262e-5,1218.9975757908956,3332.996686730893,-0.014577379189524165,-4736.283352845798,0.0009144907187169691,-754.7287917525243,-1750.0016391848117,-0.003313524909642626,0.029344927632413274,1359.6951736978683,4270.486830283392,-0.002195178767538373,-0.0001715594698036905,789.2200341053873,-11315.970292161941,4.141371340595702e-12,-6.606012855244546e-5,-18933.700899251286
