Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
t13,29.98399614324055,28.648399833809485,26.702801166380382,27.9872132501454,23.878400824036436,21.398001760107853,21.398000288009126,24.71569034569078,22.214354813876778,28.64846276343499,23.94958236937453,22.03217157724864,21.010541525590792,23.6219911650866,23.288250316555438,21.398001454568085,25.977658480787838,24.626523497676526,24.150934777040856,23.234043029844425,27.312799326864294,23.34825881193706,26.027396766289097,26.400742163756565,30.546502668553014,28.865139475647442
t14,29.98399972054326,28.648400149584717,26.702805442600955,32.41539634720028,23.87840081415689,21.39800231777575,21.398000442585516,25.050594127124846,22.214401258858633,30.138910076760645,23.94956314941326,22.032182165459254,21.010583926773762,23.62199106596349,23.288231911006005,21.3980007934461,27.245561092105476,25.828480619083656,24.47819083069438,23.548869253007833,27.31279923186126,23.664640502823666,27.31279596402147,26.758477000267998,30.96041400594311,29.256274709477744
t15,29.98399984316469,28.648399844008352,26.702799046496335,32.41539484546251,23.878400704905783,21.39805940420654,21.398000604564967,25.209090247522905,22.21440153962421,31.622783843214396,23.94932751318828,22.032187921133804,21.010584180536323,23.62199274603819,23.288003539494472,21.398000438952774,27.24556307566114,25.82848324105167,24.633065214930664,23.69786430395204,27.31279943545688,23.6647174500744,27.312796793025722,26.92777815457291,31.156299012666434,29.44137730115027
t16,29.98400008902641,28.648401425171638,26.70280281352371,32.41539877396818,23.878400700271087,21.533400158653123,21.398000812642934,25.209098649362684,22.214409090324622,34.431909322444135,23.949555702427393,22.032206533911324,21.0105960581749,23.622007862049724,23.28822562653647,21.39800079101798,27.245566384203123,25.82848609018472,24.6330723322839,23.697870655570917,27.312799749990507,23.814380065559643,27.312798777865243,26.92778195730787,31.156299457733688,29.441377089543696
t17,29.984007175092785,30.73574064313136,28.648395815097995,32.41539970560066,23.87840081261927,23.5736487020363,21.3980022041426,26.974219893572936,24.52859122025198,34.431922789043696,25.16653153240842,23.15174489026833,24.492323901245673,25.677686468599244,24.47159753554223,22.753676023245173,27.670807521066674,26.231612844567664,26.231600772091667,25.357178953830083,27.312800893503354,25.404799905034764,27.312800327580383,28.813252143466748,31.15629963840231,29.441381125127002
t18,29.984001419372202,29.415830111924375,27.41811726500477,32.41540021331768,23.878400546014387,26.360495745184327,25.28348817071073,28.79059757583227,25.83199694721057,34.431930577134516,25.166533214603973,23.151856245518726,25.387047031634197,29.030337800703713,24.471599385773676,24.359496582983116,29.983595043790725,28.42410905336297,27.87518662476776,27.064668652660487,32.45519810447907,27.19771992428168,30.008943067076594,29.98399943471989,31.156299934015113,29.441383641698312
t19,31.329405000043664,30.735759076003884,28.648399071471076,34.78404780942599,23.878400842593972,27.41298069234636,25.283502039552022,29.939356091458976,25.831997806636068,35.16409724041402,25.166535079084674,25.69497722285955,26.220862769106038,29.03034529208945,24.471599759419934,24.35950097273057,29.98399972672266,28.870720137677374,28.678739572146835,28.144540715509425,32.455202543471074,30.316799988642583,32.20174166472068,29.98400550106422,31.15629994012901,29.441384594605317
t20,32.99767420185508,32.37251264355088,30.173904753534494,32.415608542641394,23.878402595980592,27.41300838414867,25.283504882674443,30.837099759460575,25.83199866021535,35.1640996210297,25.166536755715985,25.694989068086972,26.22086995788305,29.03034668844051,24.471599957610646,24.35950885596909,29.984001553188104,28.870745190959997,28.67875095670873,28.98848885463589,32.45520133328544,30.31681753037865,32.201755261846806,32.93949409041244,31.156300669228983,29.441388271780056
t21,37.00799505859772,35.67400116071512,36.68340399895851,32.41540174142037,23.878405796720852,27.412987239715104,25.28350303514399,30.837100053485567,25.83199631117153,35.164100070756064,25.166536497077395,25.694988537495295,26.22086455913183,29.030345901804424,24.47159991446131,24.359502792867918,29.984006577152122,28.870704547841083,28.678710226074596,28.988489783288593,32.45519904381639,30.31680027542106,32.201722015775296,33.517351517782394,31.15630020534213,29.441387242785243
t22,37.00799914922461,38.20010228085483,37.12091948195663,32.41540035310974,23.878404376435483,26.98926558648509,25.28349930005043,30.550545043977063,25.831961108134713,35.16410028481514,25.16653547249389,25.69498261625467,26.220860079831755,29.030344149515894,24.47159983715051,24.359500659986175,29.983998003134058,28.4244815009702,27.628787642141063,28.71911181415008,32.4551936856655,30.31679841053999,32.13680098114199,33.917099995706764,31.156299732549506,29.441386154674277
