Region,Resource,Zone,Cluster,AnnualSum
MISS,MISS_offshorewind_class3_moderate_fixed_0_2,8,2,0.0
MISW,MISW_naturalgas_ccccsavgcf_conservative_0,9,0,8.575646989577561e9
MISW,MISW_naturalgas_ccavgcf_moderate_0,9,0,3.336611941052333e9
MISW,MISW_naturalgas_ctavgcf_moderate_0,9,0,0.0
MISW,MISW_battery_moderate_0,9,0,1.5595394231887982e9
MISW,MISW_nuclear_nuclear_moderate_0,9,0,0.0
MISW,MISW_hydrogen_ctavgcf_moderate_0,9,0,0.0
MISW,MISW_hydrogen_ccavgcf_moderate_0,9,0,0.0
MISW,MISW_landbasedwind_class3_moderate_1,9,1,4.683226131133422e9
MISW,MISW_landbasedwind_class3_moderate_2,9,2,0.0
MISW,MISW_utilitypv_class1_moderate_1,9,1,2.7386141832640905e9
MISW,MISW_utilitypv_class1_moderate_2,9,2,0.0
NWPP,NWPP_naturalgas_ccccsavgcf_conservative_0,10,0,1.7695866647014787e9
NWPP,NWPP_naturalgas_ccavgcf_moderate_0,10,0,2.1313569544446294e9
NWPP,NWPP_naturalgas_ctavgcf_moderate_0,10,0,1.2621940123837108e7
NWPP,NWPP_battery_moderate_0,10,0,3.567932563065532e8
NWPP,NWPP_nuclear_nuclear_moderate_0,10,0,0.0
NWPP,NWPP_hydrogen_ctavgcf_moderate_0,10,0,0.0
NWPP,NWPP_hydrogen_ccavgcf_moderate_0,10,0,0.0
NWPP,NWPP_landbasedwind_class3_moderate_1,10,1,4.632496752278099e9
NWPP,NWPP_landbasedwind_class3_moderate_2,10,2,0.0
NWPP,NWPP_utilitypv_class1_moderate_1,10,1,2.3140556001454797e9
NWPP,NWPP_utilitypv_class1_moderate_2,10,2,0.0
NWPP,NWPP_offshorewind_class12_moderate_floating_1_1,10,1,0.0
NWPP,NWPP_offshorewind_class12_moderate_floating_1_2,10,2,0.0
NWPP,NWPP_offshorewind_class12_moderate_floating_0_1,10,1,0.0
NWPP,NWPP_offshorewind_class12_moderate_floating_0_2,10,2,0.0
NYCW,NYCW_naturalgas_ccavgcf_moderate_0,11,0,1.9055786084575157e9
NYCW,NYCW_naturalgas_ctavgcf_moderate_0,11,0,0.0
NYCW,NYCW_battery_moderate_0,11,0,3.1483219515571177e8
NYCW,NYCW_nuclear_nuclear_moderate_0,11,0,8.624235221564268e9
NYCW,NYCW_hydrogen_ctavgcf_moderate_0,11,0,0.0
NYCW,NYCW_hydrogen_ccavgcf_moderate_0,11,0,0.0
NYCW,NYCW_utilitypv_class1_moderate_1,11,1,894785.573646473
NYCW,NYCW_offshorewind_class3_moderate_fixed_1_1,11,1,5.788520170641124e8
NYCW,NYCW_offshorewind_class3_moderate_fixed_1_2,11,2,3.09611869560752e8
NYCW,NYCW_offshorewind_class3_moderate_fixed_0_1,11,1,2.1718850193991116e8
NYCW,NYCW_offshorewind_class3_moderate_fixed_0_2,11,2,5.86072202298715e7
NYCW,NYCW_offshorewind_class12_moderate_floating_1_1,11,1,0.0
NYCW,NYCW_offshorewind_class12_moderate_floating_1_2,11,2,0.0
NYCW,NYCW_offshorewind_class12_moderate_floating_0_1,11,1,0.0
NYCW,NYCW_offshorewind_class12_moderate_floating_0_2,11,2,0.0
NYUP,NYUP_naturalgas_ccavgcf_moderate_0,12,0,0.0
NYUP,NYUP_naturalgas_ctavgcf_moderate_0,12,0,0.0
NYUP,NYUP_battery_moderate_0,12,0,4.1670579705942065e7
NYUP,NYUP_nuclear_nuclear_moderate_0,12,0,0.0
NYUP,NYUP_hydrogen_ctavgcf_moderate_0,12,0,0.0
NYUP,NYUP_hydrogen_ccavgcf_moderate_0,12,0,0.0
NYUP,NYUP_landbasedwind_class3_moderate_1,12,1,1.3983513589262989e9
NYUP,NYUP_landbasedwind_class3_moderate_2,12,2,2.2190752298116472e8
NYUP,NYUP_utilitypv_class1_moderate_1,12,1,9.75241080256552e8
NYUP,NYUP_utilitypv_class1_moderate_2,12,2,0.0
PJMC,PJMC_naturalgas_ccccsavgcf_conservative_0,13,0,1.9507350023366926e9
PJMC,PJMC_naturalgas_ccavgcf_moderate_0,13,0,0.0
PJMC,PJMC_naturalgas_ctavgcf_moderate_0,13,0,0.0
PJMC,PJMC_battery_moderate_0,13,0,4.605758992778285e8
PJMC,PJMC_nuclear_nuclear_moderate_0,13,0,0.0
PJMC,PJMC_hydrogen_ctavgcf_moderate_0,13,0,0.0
PJMC,PJMC_hydrogen_ccavgcf_moderate_0,13,0,0.0
PJMC,PJMC_landbasedwind_class3_moderate_1,13,1,1.41480343863235e9
PJMC,PJMC_landbasedwind_class3_moderate_2,13,2,5.741391576525272e8
PJMC,PJMC_utilitypv_class1_moderate_1,13,1,1.0833794082788634e9
PJMC,PJMC_utilitypv_class1_moderate_2,13,2,0.0
PJMD,PJMD_naturalgas_ccavgcf_moderate_0,14,0,1.6406753819593223e7
PJMD,PJMD_naturalgas_ctavgcf_moderate_0,14,0,0.0
PJMD,PJMD_battery_moderate_0,14,0,8.802858033280839e8
PJMD,PJMD_nuclear_nuclear_moderate_0,14,0,1.9636165241490836e9
PJMD,PJMD_hydrogen_ctavgcf_moderate_0,14,0,0.0
PJMD,PJMD_hydrogen_ccavgcf_moderate_0,14,0,0.0
PJMD,PJMD_landbasedwind_class3_moderate_1,14,1,1.2743158308168952e9
PJMD,PJMD_landbasedwind_class3_moderate_2,14,2,9.836177997175636e8
PJMD,PJMD_utilitypv_class1_moderate_1,14,1,2.158563891486404e9
PJMD,PJMD_utilitypv_class1_moderate_2,14,2,0.0
