model,zone,resource_name,tech_type,planning_year,case,unit,value
USENSYS,BASN,BASN_natural_gas_fired_combustion_turbine_2,Natural Gas,2040,26z-8760-no-ccs_d365_h24_8760,MWh,46774
USENSYS,BASN,BASN_natural_gas_fired_combustion_turbine_2,Natural Gas,2050,26z-8760-no-ccs_d365_h24_8760,MWh,33824
USENSYS,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas,2030,26z-8760-no-ccs_d365_h24_8760,MWh,26660
USENSYS,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas,2040,26z-8760-no-ccs_d365_h24_8760,MWh,111439
USENSYS,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas,2050,26z-8760-no-ccs_d365_h24_8760,MWh,66523
USENSYS,BASN,BASN_natural_gas_steam_turbine_1,Natural Gas,2040,26z-8760-no-ccs_d365_h24_8760,MWh,2199
USENSYS,BASN,BASN_naturalgas_ccavgcf_moderate_0,Natural Gas,2050,26z-8760-no-ccs_d365_h24_8760,MWh,2923254
USENSYS,BASN,BASN_onshore_wind_turbine_1,Wind,2030,26z-8760-no-ccs_d365_h24_8760,MWh,4602536
USENSYS,BASN,BASN_onshore_wind_turbine_1,Wind,2040,26z-8760-no-ccs_d365_h24_8760,MWh,3296464
USENSYS,BASN,BASN_onshore_wind_turbine_1,Wind,2050,26z-8760-no-ccs_d365_h24_8760,MWh,1178896
USENSYS,BASN,BASN_petroleum_liquids_1,Other,2040,26z-8760-no-ccs_d365_h24_8760,MWh,42
USENSYS,BASN,BASN_small_hydroelectric_1,Hydro,2030,26z-8760-no-ccs_d365_h24_8760,MWh,1550520
USENSYS,BASN,BASN_small_hydroelectric_1,Hydro,2040,26z-8760-no-ccs_d365_h24_8760,MWh,1445400
USENSYS,BASN,BASN_small_hydroelectric_1,Hydro,2050,26z-8760-no-ccs_d365_h24_8760,MWh,1252680
USENSYS,BASN,BASN_solar_photovoltaic_1,Solar,2030,26z-8760-no-ccs_d365_h24_8760,MWh,17113434
USENSYS,BASN,BASN_solar_photovoltaic_1,Solar,2040,26z-8760-no-ccs_d365_h24_8760,MWh,16957245
USENSYS,BASN,BASN_solar_photovoltaic_1,Solar,2050,26z-8760-no-ccs_d365_h24_8760,MWh,9148243
USENSYS,BASN,BASN_utilitypv_class1_moderate_0,Solar,2030,26z-8760-no-ccs_d365_h24_8760,MWh,1595701
USENSYS,BASN,BASN_utilitypv_class1_moderate_0,Solar,2040,26z-8760-no-ccs_d365_h24_8760,MWh,42941469
USENSYS,BASN,BASN_utilitypv_class1_moderate_0,Solar,2050,26z-8760-no-ccs_d365_h24_8760,MWh,42941477
USENSYS,BASN,BASN_utilitypv_class1_moderate_1,Solar,2030,26z-8760-no-ccs_d365_h24_8760,MWh,9774866
USENSYS,BASN,BASN_utilitypv_class1_moderate_1,Solar,2040,26z-8760-no-ccs_d365_h24_8760,MWh,9774866
USENSYS,BASN,BASN_utilitypv_class1_moderate_1,Solar,2050,26z-8760-no-ccs_d365_h24_8760,MWh,9774866
USENSYS,BASN,BASN_utilitypv_class1_moderate_2,Solar,2050,26z-8760-no-ccs_d365_h24_8760,MWh,18441918
USENSYS,BASN,BASN_utilitypv_class1_moderate_3,Solar,2030,26z-8760-no-ccs_d365_h24_8760,MWh,3220467
USENSYS,BASN,BASN_utilitypv_class1_moderate_3,Solar,2040,26z-8760-no-ccs_d365_h24_8760,MWh,3220467
USENSYS,BASN,BASN_utilitypv_class1_moderate_3,Solar,2050,26z-8760-no-ccs_d365_h24_8760,MWh,3220467
USENSYS,BASN,BASN_utilitypv_class1_moderate_5,Solar,2050,26z-8760-no-ccs_d365_h24_8760,MWh,8215088
USENSYS,CANO,CANO_batteries_1,Battery,2030,26z-8760-no-ccs_d365_h24_8760,MWh,3081964
USENSYS,CANO,CANO_batteries_1,Battery,2040,26z-8760-no-ccs_d365_h24_8760,MWh,3386858
USENSYS,CANO,CANO_batteries_1,Battery,2050,26z-8760-no-ccs_d365_h24_8760,MWh,3277454
USENSYS,CANO,CANO_battery_moderate_0,Battery,2050,26z-8760-no-ccs_d365_h24_8760,MWh,14139933
USENSYS,CANO,CANO_biomass_1,Biomass,2030,26z-8760-no-ccs_d365_h24_8760,MWh,673813
USENSYS,CANO,CANO_biomass_1,Biomass,2040,26z-8760-no-ccs_d365_h24_8760,MWh,195950
USENSYS,CANO,CANO_biomass_1,Biomass,2050,26z-8760-no-ccs_d365_h24_8760,MWh,146968
USENSYS,CANO,CANO_biomass_2,Biomass,2030,26z-8760-no-ccs_d365_h24_8760,MWh,376995
USENSYS,CANO,CANO_biomass_2,Biomass,2040,26z-8760-no-ccs_d365_h24_8760,MWh,127080
USENSYS,CANO,CANO_biomass_2,Biomass,2050,26z-8760-no-ccs_d365_h24_8760,MWh,126531
USENSYS,CANO,CANO_conventional_hydroelectric_1,Hydro,2030,26z-8760-no-ccs_d365_h24_8760,MWh,18503503
USENSYS,CANO,CANO_conventional_hydroelectric_1,Hydro,2040,26z-8760-no-ccs_d365_h24_8760,MWh,18320488
USENSYS,CANO,CANO_conventional_hydroelectric_1,Hydro,2050,26z-8760-no-ccs_d365_h24_8760,MWh,14910721
USENSYS,CANO,CANO_distributed_generation_1,Distributed Solar,2030,26z-8760-no-ccs_d365_h24_8760,MWh,12591098
USENSYS,CANO,CANO_distributed_generation_1,Distributed Solar,2040,26z-8760-no-ccs_d365_h24_8760,MWh,15093676
USENSYS,CANO,CANO_distributed_generation_1,Distributed Solar,2050,26z-8760-no-ccs_d365_h24_8760,MWh,14322743
USENSYS,CANO,CANO_hydroelectric_pumped_storage_1,Hydro,2030,26z-8760-no-ccs_d365_h24_8760,MWh,6000869
USENSYS,CANO,CANO_hydroelectric_pumped_storage_1,Hydro,2040,26z-8760-no-ccs_d365_h24_8760,MWh,6754361
