case_id,year,region,ESR_1,ESR_2,ESR_3,ESR_4,ESR_5,ESR_6,ESR_7,ESR_8,ESR_9,ESR_10,ESR_11,ESR_12,ESR_13,ESR_14,ESR_15,ESR_16,CO_2_Cap_Zone_1,CO_2_Max_Mtons_1,copy_case_id
all,2040,SRCE,,,,,,,,,,,,,,,,,1,,
all,2040,SRSE,,,,,,,,,,,,,,,,,1,,
all,2040,SRSG,,,,,,,,,,,,,,,,,1,,
all,2040,TRE,,,,,,,,,,,,,,,,,1,,
all,2040,TRE_WEST,,,,,,,,,,,,,,,,,1,,
all,2045,BASN,,,,,,,,,,,,,,,,,1,43.33,
all,2045,CANO,,,,,,,,,,,,,,,,,1,,
all,2045,CASO,,,,,,,,,,,,,,,,,1,,
all,2045,FRCC,,,,,,,,,,,,,,,,,1,,
all,2045,ISNE,,,,,,,,,,,,,,,,,1,,
all,2045,MISC,,,,,,,,,,,,,,,,,1,,
all,2045,MISE,,,,,,,,,,,,,,,,,1,,
all,2045,MISS,,,,,,,,,,,,,,,,,1,,
all,2045,MISW,,,,,,,,,,,,,,,,,1,,
all,2045,NWPP,,,,,,,,,,,,,,,,,1,,
all,2045,NYCW,,,,,,,,,,,,,,,,,1,,
all,2045,NYUP,,,,,,,,,,,,,,,,,1,,
all,2045,PJMC,,,,,,,,,,,,,,,,,1,,
all,2045,PJMD,,,,,,,,,,,,,,,,,1,,
all,2045,PJME,,,,,,,,,,,,,,,,,1,,
all,2045,PJMW,,,,,,,,,,,,,,,,,1,,
all,2045,RMRG,,,,,,,,,,,,,,,,,1,,
all,2045,SPPC,,,,,,,,,,,,,,,,,1,,
all,2045,SPPN,,,,,,,,,,,,,,,,,1,,
all,2045,SPPS,,,,,,,,,,,,,,,,,1,,
all,2045,SRCA,,,,,,,,,,,,,,,,,1,,
all,2045,SRCE,,,,,,,,,,,,,,,,,1,,
all,2045,SRSE,,,,,,,,,,,,,,,,,1,,
all,2045,SRSG,,,,,,,,,,,,,,,,,1,,
all,2045,TRE,,,,,,,,,,,,,,,,,1,,
all,2045,TRE_WEST,,,,,,,,,,,,,,,,,1,,
all,2050,BASN,,,,,,,,,,,,,,,,,1,0,
all,2050,CANO,,,,,,,,,,,,,,,,,1,,
all,2050,CASO,,,,,,,,,,,,,,,,,1,,
all,2050,FRCC,,,,,,,,,,,,,,,,,1,,
all,2050,ISNE,,,,,,,,,,,,,,,,,1,,
all,2050,MISC,,,,,,,,,,,,,,,,,1,,
all,2050,MISE,,,,,,,,,,,,,,,,,1,,
all,2050,MISS,,,,,,,,,,,,,,,,,1,,
all,2050,MISW,,,,,,,,,,,,,,,,,1,,
all,2050,NWPP,,,,,,,,,,,,,,,,,1,,
all,2050,NYCW,,,,,,,,,,,,,,,,,1,,
all,2050,NYUP,,,,,,,,,,,,,,,,,1,,
all,2050,PJMC,,,,,,,,,,,,,,,,,1,,
all,2050,PJMD,,,,,,,,,,,,,,,,,1,,
all,2050,PJME,,,,,,,,,,,,,,,,,1,,
