model,line,line_name,planning_year,case,unit,AnnualSum
GenX,18.0,MISC_to_SPPC,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,480800776.25339216
GenX,19.0,MISC_to_SPPN,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,1296.6517702328556
GenX,20.0,MISC_to_SPPS,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,644880939.9043891
GenX,21.0,MISC_to_SRCE,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,1815012265.6707416
GenX,22.0,MISE_to_MISW,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,1286.8699642516317
GenX,23.0,MISE_to_PJMW,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,731637835.4840916
GenX,24.0,MISS_to_SPPC,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,1180786698.660085
GenX,25.0,MISS_to_SPPS,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,1674997819.14676
GenX,26.0,MISS_to_SRCE,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,638584630.9220297
GenX,27.0,MISS_to_SRSE,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,131689525.17791384
GenX,28.0,MISW_to_NWPP,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,313937777.26131594
GenX,29.0,MISW_to_PJMC,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,685960980.1502748
GenX,30.0,MISW_to_SPPC,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,1957.4787425760528
GenX,31.0,MISW_to_SPPN,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,2279256916.1303096
GenX,32.0,NWPP_to_RMRG,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,245301233.3205392
GenX,33.0,NYCW_to_NYUP,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,398696374.0318774
GenX,34.0,NYCW_to_PJME,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,895350064.1928465
GenX,35.0,NYUP_to_PJME,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,62819262.190235205
GenX,36.0,PJMC_to_PJMW,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,206257805.8812617
GenX,37.0,PJMD_to_PJME,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,947098159.173248
GenX,38.0,PJMD_to_PJMW,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,3230057322.600946
GenX,39.0,PJMD_to_SRCA,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,507282768.754027
GenX,40.0,PJME_to_PJMW,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,549097422.4179362
GenX,41.0,PJMW_to_SRCA,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,1201457401.063632
GenX,42.0,PJMW_to_SRCE,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,2208577319.3498626
GenX,43.0,RMRG_to_SPPC,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,625444036.1546605
GenX,44.0,RMRG_to_SPPN,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,725959009.8917261
GenX,45.0,RMRG_to_SRSG,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,684742804.9159642
GenX,46.0,SPPC_to_SPPN,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,140182698.15058485
GenX,47.0,SPPC_to_SPPS,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,492817959.2627912
GenX,48.0,SPPN_to_SPPS,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,956250695.1816566
GenX,49.0,SPPS_to_SRSG,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,6877257770.22902
GenX,50.0,SPPS_to_TRE,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,160757469.18810228
GenX,51.0,SPPS_to_TRE_WEST,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,538632027.6648481
GenX,52.0,SRCA_to_SRCE,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,51603614.90416359
GenX,53.0,SRCA_to_SRSE,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,316322585.2527923
GenX,54.0,SRCE_to_SRSE,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,983898046.5634242
GenX,55.0,TRE_to_TRE_WEST,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,3423604337.807166
GenX,56.0,NWPP_to_SPPN,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,6028.790639703823
GenX,57.0,SRSG_to_TRE,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,3394574110.64951
GenX,1.0,BASN_to_CANO,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,27643055.92777391
GenX,2.0,BASN_to_CASO,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,2445110934.430801
GenX,3.0,BASN_to_NWPP,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,735187564.4923822
GenX,4.0,BASN_to_RMRG,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,2485810166.851908
GenX,5.0,BASN_to_SRSG,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,1100249983.2497077
GenX,6.0,CANO_to_CASO,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,848204201.6327552
GenX,7.0,CANO_to_NWPP,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,1441094551.3947697
GenX,8.0,CASO_to_NWPP,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,1550248593.2667828
GenX,9.0,CASO_to_SRSG,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,1672929099.777994
GenX,10.0,FRCC_to_SRSE,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,775683042.3891448
GenX,11.0,ISNE_to_NYCW,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,331768170.0485716
GenX,12.0,ISNE_to_NYUP,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,536389511.2134824
GenX,13.0,MISC_to_MISE,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,13175.051771621458
GenX,14.0,MISC_to_MISS,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,712945044.1594623
GenX,15.0,MISC_to_MISW,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,342727504.26835006
GenX,16.0,MISC_to_PJMC,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,985188364.3780012
