GENERATION_PROJECT,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_is_baseload,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_dbid,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_min_build_capacity,gen_is_cogen,gen_storage_efficiency,gen_store_to_release_ratio,gen_can_provide_cap_reserves,gen_self_discharge_rate,gen_discharge_efficiency,gen_land_use_rate,gen_storage_energy_to_power_ratio,gen_type,gen_capacity_limit_mw
FRCC_natural_gas_internal_combustion_engine_1,Natural Gas Internal Combustion Engine,Naturalgas,FRCC,60,FALSE,FALSE,8.379,4.31,0,FRCC_natural_gas_internal_combustion_engine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,244.4
FRCC_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,Naturalgas,FRCC,50,FALSE,FALSE,11.318,1.056,0,FRCC_natural_gas_steam_turbine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,335
FRCC_nuclear_1,Nuclear,Uranium,FRCC,80,FALSE,TRUE,10.446,2.841,0,FRCC_nuclear_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Nuclear,3737
FRCC_petroleum_liquids_1,Petroleum Liquids,Diesel,FRCC,40,FALSE,FALSE,.,5.997,0,FRCC_petroleum_liquids_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Petroleum,148.3
FRCC_solar_photovoltaic_1,Solar Photovoltaic,Solar,FRCC,30,TRUE,FALSE,.,0,0,FRCC_solar_photovoltaic_1,0,0,0,FALSE,.,.,1,.,.,.,.,Solar,7848.6
ISNE_biomass_1,Biomass,Bio Solid,ISNE,50,FALSE,FALSE,.,5.466,0,ISNE_biomass_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Biomass,292.9
ISNE_conventional_hydroelectric_1,Conventional Hydroelectric,Water,ISNE,100,FALSE,FALSE,.,0,0,ISNE_conventional_hydroelectric_1,0.05,0.05,0,FALSE,.,.,1,.,.,.,.,Hydro,516.1
ISNE_hydroelectric_pumped_storage_1,Hydroelectric Pumped Storage,Electricity,ISNE,100,FALSE,FALSE,.,0,0,ISNE_hydroelectric_pumped_storage_1,0.05,0.05,0,FALSE,0.749956,1,1,.,.,.,.,Hydro,1768
ISNE_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,Naturalgas,ISNE,60,FALSE,FALSE,7.867,3.851,0,ISNE_natural_gas_fired_combined_cycle_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,14234.1
ISNE_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,Naturalgas,ISNE,50,FALSE,FALSE,10.747,5.279,0,ISNE_natural_gas_fired_combustion_turbine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,1789.4
ISNE_natural_gas_internal_combustion_engine_1,Natural Gas Internal Combustion Engine,Naturalgas,ISNE,60,FALSE,FALSE,9.309,4.788,0,ISNE_natural_gas_internal_combustion_engine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,57.4
ISNE_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,Naturalgas,ISNE,50,FALSE,FALSE,9.312,1.056,0,ISNE_natural_gas_steam_turbine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,17.2
ISNE_nuclear_1,Nuclear,Uranium,ISNE,80,FALSE,TRUE,10.446,2.841,0,ISNE_nuclear_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Nuclear,3348.1
ISNE_offshore_wind_turbine_1,Offshore Wind Turbine,Wind,ISNE,30,TRUE,FALSE,.,0,0,ISNE_offshore_wind_turbine_1,0,0.05,0,FALSE,.,.,1,.,.,.,.,Wind,29.3
ISNE_onshore_wind_turbine_1,Onshore Wind Turbine,Wind,ISNE,30,TRUE,FALSE,.,0,0,ISNE_onshore_wind_turbine_1,0,0,0,FALSE,.,.,1,.,.,.,.,Wind,1165.2
ISNE_petroleum_liquids_1,Petroleum Liquids,Diesel,ISNE,40,FALSE,FALSE,.,7.227,0,ISNE_petroleum_liquids_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Petroleum,824.1
ISNE_small_hydroelectric_1,Small Hydroelectric,Water,ISNE,100,FALSE,FALSE,.,0,0,ISNE_small_hydroelectric_1,0.05,0.05,0,FALSE,.,.,1,.,.,.,.,Hydro,515.1
ISNE_solar_photovoltaic_1,Solar Photovoltaic,Solar,ISNE,30,TRUE,FALSE,.,0,0,ISNE_solar_photovoltaic_1,0,0,0,FALSE,.,.,1,.,.,.,.,Solar,2438
MISC_biomass_1,Biomass,Bio Solid,MISC,50,FALSE,FALSE,.,4.634,0,MISC_biomass_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Biomass,131.8
MISC_conventional_hydroelectric_1,Conventional Hydroelectric,Water,MISC,100,FALSE,FALSE,.,0,0,MISC_conventional_hydroelectric_1,0.05,0.05,0,FALSE,.,.,1,.,.,.,.,Hydro,276.6
MISC_conventional_steam_coal_1,Conventional Steam Coal,Coal,MISC,65,FALSE,TRUE,10.414,1.879,0,MISC_conventional_steam_coal_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Coal,7486.7
MISC_hydroelectric_pumped_storage_1,Hydroelectric Pumped Storage,Electricity,MISC,100,FALSE,FALSE,.,0,0,MISC_hydroelectric_pumped_storage_1,0.05,0.05,0,FALSE,0.749956,1,1,.,.,.,.,Hydro,471
MISC_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,Naturalgas,MISC,60,FALSE,FALSE,7.407,3.759,0,MISC_natural_gas_fired_combined_cycle_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,5234.1
MISC_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,Naturalgas,MISC,50,FALSE,FALSE,12.236,5.279,0,MISC_natural_gas_fired_combustion_turbine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,9409
MISC_natural_gas_internal_combustion_engine_1,Natural Gas Internal Combustion Engine,Naturalgas,MISC,60,FALSE,FALSE,9.041,4.651,0,MISC_natural_gas_internal_combustion_engine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,34.8
MISC_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,Naturalgas,MISC,50,FALSE,FALSE,13.36,1.056,0,MISC_natural_gas_steam_turbine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,134.3
MISC_nuclear_1,Nuclear,Uranium,MISC,80,FALSE,TRUE,10.447,2.841,0,MISC_nuclear_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Nuclear,2373
MISC_onshore_wind_turbine_1,Onshore Wind Turbine,Wind,MISC,30,TRUE,FALSE,.,0,0,MISC_onshore_wind_turbine_1,0,0,0,FALSE,.,.,1,.,.,.,.,Wind,3811.7
