Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
t11,14.8152997719914,55.858543153938,44.77150054334859,0.00014303563612608493,10.664090160003036,12.13730389284696,11.271018162154368,11.924044018866962,12.257806287847288,50.59036453929314,10.571294438121882,9.465486830209969,11.59427408741771,9.757354888212262,10.2794075048069,10.771908553403765,13.459905457053054,12.783046980693875,12.873871410782337,12.385241931137463,8.734661761454802,12.02664358764658,11.323078160316284,14.659643665873249,12.669743407881297,11.972460451013077
t12,13.543612870144646,27.966898188244006,22.439529779830604,0.0002156987208193135,11.943311608755932,11.919199111246467,11.067392326851905,12.507219686929483,12.119385826548703,25.336683282328995,11.840198534027353,10.601044315729636,11.40693017779599,9.585711182493473,11.513278528352405,10.581690462398045,12.306892159958055,12.553001979645426,12.612110539626629,12.133344142295018,10.572613532583572,11.81494529146166,11.877075557197776,13.921776462676064,12.03271742489634,11.728748948471916
t13,10.626940513834,13.148944058248272,12.253438536388877,0.00019012312550255732,11.938573247247906,11.553666049646873,10.727759857463164,12.510717087629777,11.876702912466616,14.516749855939665,11.685023487719555,10.596557202280886,11.233606006818933,9.457734841703795,11.362342309277672,10.440217830249663,11.698193433814017,12.168067215952624,12.223451574654533,11.761414097626579,10.574075698127697,11.81752599599436,11.880463526548183,11.195934731481001,12.031649285252957,11.369633350107286
t14,7.699136337596828,7.846861924175257,8.419858060617244,0.0001563284775063864,11.238808628369013,9.96095470141752,9.248939534136598,10.570729465980971,11.012716663925818,11.231544019034425,10.845869789247944,9.97548582565936,10.430215835234288,8.778959109052451,10.54629975062588,9.690332062013763,9.848900882962422,10.38853752853596,10.29723167376324,9.93713241794743,10.572123026505295,10.820480237482217,10.257978049927036,8.745625496646042,10.11897743419568,9.605825443341683
t15,8.547043852771889,8.70322257697263,9.344384586776913,0.00030659153077166777,11.944019841435564,11.883676345688025,11.034606500381262,11.752964376741568,11.986716069990928,10.572673040685938,11.84182304128698,10.602418912790318,11.365011642823644,10.972516747857203,11.514831749787813,10.580343111612903,10.833644914639665,11.428053160862584,11.20910812986698,11.048351450826608,13.732401072387068,12.236948758272066,12.37678735059096,9.72315646538723,11.250016925666396,10.679987935919224
t16,9.721835166819467,9.90507478025729,10.631699672554968,13.0173032519752,13.927300812636199,13.500287761975086,12.536899213145627,13.353095498574687,12.255640630028704,13.891718152835802,14.970559131799964,13.403803268032668,12.956620469260049,13.87456498286245,14.55742047088782,13.37729173975105,12.173033993439834,12.818809377563992,12.727016228026784,12.550820078608867,40.85824144359591,14.936236473049465,14.062911688817941,11.041353751919651,12.032666701036227,12.132049063183322
t17,14.81395576468073,20.531803383849677,22.440294064329642,13.020390619339695,53.74127617746049,35.812112801638484,36.96720425660386,33.117648038834254,32.32511546134298,25.32911373698126,45.1689126878819,47.70027138011436,37.48730550047569,44.54667139702306,43.920887907591045,40.35226062616693,28.905912696779108,30.813004211418786,30.224876554936362,31.13198787614319,52.01094088367926,45.04210916543109,42.40430535879409,24.56019410180301,29.845006547608108,30.093604638922
t18,20.518019327928663,20.9167564268453,22.4417791823513,94.6105445228566,115.4635034608658,98.406823526937,105.9749739798611,97.04680392217945,98.77923742578908,25.329704982621223,124.10177306345807,114.16444677416995,104.43900131208765,122.40472556104625,120.67519165187815,110.8803691317846,28.90812036150911,93.43640473636385,92.36746127414416,91.22894329258423,113.36888434128272,108.83117131708846,102.19735408968565,24.56265366887656,87.45864062284082,88.18708399258288
t19,78.73665075500082,27.967850660470923,77.32485962459842,126.22982846039271,115.46349881551036,112.20840074529052,120.8308380601762,110.96840859551722,111.19283312380533,88.66326629212693,124.10211962903209,114.16534841444091,117.56397249985345,122.4051170603028,120.67538281383518,110.88120845929593,101.1829915076841,106.73458096314765,105.78832754090662,104.31594870288909,127.83398143608215,117.47499551761814,116.85786422091346,89.44909461547309,103.4960829705895,100.83813118182916
t20,108.04371250124046,104.03385634217236,103.68714678166589,160.1419291140275,115.46407578541515,142.35438303532345,146.5370570212163,140.78130807992238,133.71073340246437,114.84333066907833,124.1034052914673,114.1656910815779,141.37159221573538,122.41120458076753,120.67664617227695,131.33586834832934,128.3673359428893,135.4103370148256,134.20961327016832,132.34175134864867,136.8488156482752,146.64033721764403,148.25284651439745,113.48119081762533,131.3006808133593,127.92984933012544
