model,zone,resource_name,tech_type,unit,planning_year,case,start_value,end_value
USENSYS,MISC,MISC_landbasedwind_class3_moderate_0,Wind,MW,2030,26z-debug-foresight,0,25592
USENSYS,MISC,MISC_landbasedwind_class3_moderate_1,Wind,MW,2040,26z-debug-foresight,0,12254
USENSYS,MISC,MISC_utilitypv_class1_moderate_3,Solar,MW,2030,26z-debug-foresight,0,494
USENSYS,MISC,MISC_utilitypv_class1_moderate_3,Solar,MW,2050,26z-debug-foresight,494,498
USENSYS,MISC,MISC_utilitypv_class1_moderate_5,Solar,MW,2030,26z-debug-foresight,0,12315
USENSYS,MISC,MISC_utilitypv_class1_moderate_5,Solar,MW,2040,26z-debug-foresight,12315,22870
USENSYS,MISC,MISC_utilitypv_class1_moderate_5,Solar,MW,2050,26z-debug-foresight,22870,31884
USENSYS,MISE,MISE_battery_moderate_0,Battery,MW,2050,26z-debug-foresight,0,1
USENSYS,MISE,MISE_hydrogen_ccavgcf_moderate_0,Hydrogen,MW,2040,26z-debug-foresight,0,3184
USENSYS,MISE,MISE_hydrogen_ccavgcf_moderate_0,Hydrogen,MW,2050,26z-debug-foresight,3185,7998
USENSYS,MISE,MISE_hydrogen_ctavgcf_moderate_0,Hydrogen,MW,2050,26z-debug-foresight,0,435
USENSYS,MISE,MISE_landbasedwind_class3_moderate_0,Wind,MW,2030,26z-debug-foresight,0,1062
USENSYS,MISE,MISE_landbasedwind_class3_moderate_1,Wind,MW,2030,26z-debug-foresight,0,694
USENSYS,MISE,MISE_landbasedwind_class3_moderate_2,Wind,MW,2030,26z-debug-foresight,0,985
USENSYS,MISE,MISE_landbasedwind_class3_moderate_3,Wind,MW,2030,26z-debug-foresight,0,773
USENSYS,MISE,MISE_landbasedwind_class3_moderate_4,Wind,MW,2030,26z-debug-foresight,0,1082
USENSYS,MISE,MISE_landbasedwind_class3_moderate_5,Wind,MW,2030,26z-debug-foresight,0,671
USENSYS,MISE,MISE_naturalgas_ccccsavgcf_conservative_0,CCS,MW,2030,26z-debug-foresight,0,1
USENSYS,MISE,MISE_utilitypv_class1_moderate_1,Solar,MW,2030,26z-debug-foresight,0,11099
USENSYS,MISE,MISE_utilitypv_class1_moderate_1,Solar,MW,2040,26z-debug-foresight,11098,23402
USENSYS,MISE,MISE_utilitypv_class1_moderate_1,Solar,MW,2050,26z-debug-foresight,23403,24743
USENSYS,MISE,MISE_utilitypv_class1_moderate_3,Solar,MW,2050,26z-debug-foresight,0,6212
USENSYS,MISE,MISE_utilitypv_class1_moderate_4,Solar,MW,2030,26z-debug-foresight,0,10742
USENSYS,MISE,MISE_utilitypv_class1_moderate_5,Solar,MW,2050,26z-debug-foresight,0,6456
USENSYS,MISS,MISS_battery_moderate_0,Battery,MW,2050,26z-debug-foresight,0,1
USENSYS,MISS,MISS_hydrogen_ccavgcf_moderate_0,Hydrogen,MW,2040,26z-debug-foresight,0,1
USENSYS,MISS,MISS_hydrogen_ccavgcf_moderate_0,Hydrogen,MW,2050,26z-debug-foresight,1,11644
USENSYS,MISS,MISS_hydrogen_ctavgcf_moderate_0,Hydrogen,MW,2050,26z-debug-foresight,0,4
USENSYS,MISS,MISS_landbasedwind_class3_moderate_0,Wind,MW,2030,26z-debug-foresight,0,1795
USENSYS,MISS,MISS_landbasedwind_class3_moderate_1,Wind,MW,2030,26z-debug-foresight,0,1837
USENSYS,MISS,MISS_landbasedwind_class3_moderate_2,Wind,MW,2030,26z-debug-foresight,0,6239
USENSYS,MISS,MISS_landbasedwind_class3_moderate_2,Wind,MW,2040,26z-debug-foresight,6239,17810
USENSYS,MISS,MISS_landbasedwind_class3_moderate_5,Wind,MW,2040,26z-debug-foresight,0,1016
USENSYS,MISS,MISS_utilitypv_class1_moderate_0,Solar,MW,2030,26z-debug-foresight,0,3130
