model,zone,fuel,planning_year,case,unit,value
USENSYS,CANO,hydrogen,2040,26z-debug-foresight,MMBtu,7909
USENSYS,CANO,hydrogen,2050,26z-debug-foresight,MMBtu,35846720
USENSYS,CASO,hydrogen,2030,26z-debug-foresight,MMBtu,867
USENSYS,CASO,hydrogen,2040,26z-debug-foresight,MMBtu,21495283
USENSYS,CASO,hydrogen,2050,26z-debug-foresight,MMBtu,65364980
USENSYS,FRCC,hydrogen,2030,26z-debug-foresight,MMBtu,1112
USENSYS,FRCC,hydrogen,2040,26z-debug-foresight,MMBtu,49151362
USENSYS,FRCC,hydrogen,2050,26z-debug-foresight,MMBtu,94576392
USENSYS,ISNE,hydrogen,2030,26z-debug-foresight,MMBtu,1087
USENSYS,ISNE,hydrogen,2040,26z-debug-foresight,MMBtu,122118823
USENSYS,ISNE,hydrogen,2050,26z-debug-foresight,MMBtu,161416217
USENSYS,MISC,hydrogen,2030,26z-debug-foresight,MMBtu,960
USENSYS,MISC,hydrogen,2040,26z-debug-foresight,MMBtu,34070
USENSYS,MISC,hydrogen,2050,26z-debug-foresight,MMBtu,142201535
USENSYS,MISE,hydrogen,2030,26z-debug-foresight,MMBtu,1078
USENSYS,MISE,hydrogen,2040,26z-debug-foresight,MMBtu,62106754
USENSYS,MISE,hydrogen,2050,26z-debug-foresight,MMBtu,70193719
USENSYS,MISS,hydrogen,2030,26z-debug-foresight,MMBtu,894
USENSYS,MISS,hydrogen,2040,26z-debug-foresight,MMBtu,23980
USENSYS,MISS,hydrogen,2050,26z-debug-foresight,MMBtu,108581733
USENSYS,MISW,hydrogen,2030,26z-debug-foresight,MMBtu,984
USENSYS,MISW,hydrogen,2040,26z-debug-foresight,MMBtu,84945
USENSYS,MISW,hydrogen,2050,26z-debug-foresight,MMBtu,155171357
USENSYS,NWPP,hydrogen,2030,26z-debug-foresight,MMBtu,595
USENSYS,NWPP,hydrogen,2040,26z-debug-foresight,MMBtu,3181
USENSYS,NWPP,hydrogen,2050,26z-debug-foresight,MMBtu,47568410
USENSYS,NYCW,hydrogen,2030,26z-debug-foresight,MMBtu,983
USENSYS,NYCW,hydrogen,2040,26z-debug-foresight,MMBtu,15761
USENSYS,NYCW,hydrogen,2050,26z-debug-foresight,MMBtu,66359772
USENSYS,NYUP,hydrogen,2030,26z-debug-foresight,MMBtu,836
USENSYS,NYUP,hydrogen,2040,26z-debug-foresight,MMBtu,5416
USENSYS,NYUP,hydrogen,2050,26z-debug-foresight,MMBtu,27486853
USENSYS,PJMC,hydrogen,2030,26z-debug-foresight,MMBtu,925
USENSYS,PJMC,hydrogen,2040,26z-debug-foresight,MMBtu,7265
USENSYS,PJMC,hydrogen,2050,26z-debug-foresight,MMBtu,16951
USENSYS,PJMD,hydrogen,2030,26z-debug-foresight,MMBtu,983
USENSYS,PJMD,hydrogen,2040,26z-debug-foresight,MMBtu,34374917
USENSYS,PJMD,hydrogen,2050,26z-debug-foresight,MMBtu,44741480
USENSYS,PJME,hydrogen,2030,26z-debug-foresight,MMBtu,978
USENSYS,PJME,hydrogen,2040,26z-debug-foresight,MMBtu,89123923
USENSYS,PJME,hydrogen,2050,26z-debug-foresight,MMBtu,219168316
USENSYS,PJMW,hydrogen,2030,26z-debug-foresight,MMBtu,1038
USENSYS,PJMW,hydrogen,2040,26z-debug-foresight,MMBtu,75100786
USENSYS,PJMW,hydrogen,2050,26z-debug-foresight,MMBtu,197168501
USENSYS,RMRG,hydrogen,2030,26z-debug-foresight,MMBtu,795
USENSYS,RMRG,hydrogen,2040,26z-debug-foresight,MMBtu,5814
USENSYS,RMRG,hydrogen,2050,26z-debug-foresight,MMBtu,21062694
USENSYS,SPPC,hydrogen,2030,26z-debug-foresight,MMBtu,861
USENSYS,SPPC,hydrogen,2040,26z-debug-foresight,MMBtu,7671
USENSYS,SPPC,hydrogen,2050,26z-debug-foresight,MMBtu,1915574
USENSYS,SPPN,hydrogen,2030,26z-debug-foresight,MMBtu,848
USENSYS,SPPN,hydrogen,2040,26z-debug-foresight,MMBtu,6932
USENSYS,SPPN,hydrogen,2050,26z-debug-foresight,MMBtu,30693402
USENSYS,SPPS,hydrogen,2030,26z-debug-foresight,MMBtu,827
USENSYS,SPPS,hydrogen,2040,26z-debug-foresight,MMBtu,6775
USENSYS,SPPS,hydrogen,2050,26z-debug-foresight,MMBtu,23285624
USENSYS,SRCA,hydrogen,2030,26z-debug-foresight,MMBtu,1125
USENSYS,SRCA,hydrogen,2040,26z-debug-foresight,MMBtu,151564503
USENSYS,SRCA,hydrogen,2050,26z-debug-foresight,MMBtu,122128033
USENSYS,SRCE,hydrogen,2030,26z-debug-foresight,MMBtu,909
USENSYS,SRCE,hydrogen,2040,26z-debug-foresight,MMBtu,35369
USENSYS,SRCE,hydrogen,2050,26z-debug-foresight,MMBtu,97137750
USENSYS,SRSE,hydrogen,2030,26z-debug-foresight,MMBtu,1014
USENSYS,SRSE,hydrogen,2040,26z-debug-foresight,MMBtu,71843253
USENSYS,SRSE,hydrogen,2050,26z-debug-foresight,MMBtu,138954647
USENSYS,SRSG,hydrogen,2030,26z-debug-foresight,MMBtu,954
USENSYS,SRSG,hydrogen,2040,26z-debug-foresight,MMBtu,25772428
USENSYS,SRSG,hydrogen,2050,26z-debug-foresight,MMBtu,73669908
USENSYS,TRE,hydrogen,2030,26z-debug-foresight,MMBtu,902
USENSYS,TRE,hydrogen,2040,26z-debug-foresight,MMBtu,66271135
USENSYS,TRE,hydrogen,2050,26z-debug-foresight,MMBtu,220436691
USENSYS,TRE_WEST,hydrogen,2030,26z-debug-foresight,MMBtu,800
USENSYS,TRE_WEST,hydrogen,2040,26z-debug-foresight,MMBtu,6254
USENSYS,TRE_WEST,hydrogen,2050,26z-debug-foresight,MMBtu,1823829
USENSYS,PJME,middle_atlantic_coal,2030,26z-debug-foresight,MMBtu,571
USENSYS,PJME,middle_atlantic_coal,2040,26z-debug-foresight,MMBtu,400
USENSYS,PJME,middle_atlantic_coal,2050,26z-debug-foresight,MMBtu,-141
USENSYS,NYCW,middle_atlantic_distillate,2030,26z-debug-foresight,MMBtu,7829
USENSYS,NYCW,middle_atlantic_distillate,2040,26z-debug-foresight,MMBtu,17348
USENSYS,NYCW,middle_atlantic_distillate,2050,26z-debug-foresight,MMBtu,-46
USENSYS,NYUP,middle_atlantic_distillate,2030,26z-debug-foresight,MMBtu,101
USENSYS,NYUP,middle_atlantic_distillate,2040,26z-debug-foresight,MMBtu,129
USENSYS,NYUP,middle_atlantic_distillate,2050,26z-debug-foresight,MMBtu,-44
USENSYS,PJME,middle_atlantic_distillate,2030,26z-debug-foresight,MMBtu,65
USENSYS,PJME,middle_atlantic_distillate,2040,26z-debug-foresight,MMBtu,122
USENSYS,PJME,middle_atlantic_distillate,2050,26z-debug-foresight,MMBtu,-46
USENSYS,NYCW,middle_atlantic_naturalgas,2030,26z-debug-foresight,MMBtu,50265527
USENSYS,NYCW,middle_atlantic_naturalgas,2040,26z-debug-foresight,MMBtu,18319000
USENSYS,NYCW,middle_atlantic_naturalgas,2050,26z-debug-foresight,MMBtu,-333
USENSYS,NYUP,middle_atlantic_naturalgas,2030,26z-debug-foresight,MMBtu,36642114
USENSYS,NYUP,middle_atlantic_naturalgas,2040,26z-debug-foresight,MMBtu,27135429
USENSYS,NYUP,middle_atlantic_naturalgas,2050,26z-debug-foresight,MMBtu,-311
USENSYS,PJME,middle_atlantic_naturalgas,2030,26z-debug-foresight,MMBtu,581323180
USENSYS,PJME,middle_atlantic_naturalgas,2040,26z-debug-foresight,MMBtu,248013759
USENSYS,PJME,middle_atlantic_naturalgas,2050,26z-debug-foresight,MMBtu,-398
USENSYS,NYUP,middle_atlantic_uranium,2030,26z-debug-foresight,MMBtu,242555577
USENSYS,NYUP,middle_atlantic_uranium,2040,26z-debug-foresight,MMBtu,171056308
USENSYS,NYUP,middle_atlantic_uranium,2050,26z-debug-foresight,MMBtu,101943288
USENSYS,PJME,middle_atlantic_uranium,2030,26z-debug-foresight,MMBtu,1007904617
USENSYS,PJME,middle_atlantic_uranium,2040,26z-debug-foresight,MMBtu,736394932
