model,zone,resource_name,tech_type,planning_year,case,unit,value
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_1,Wind,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,8249835
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_10,Wind,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,11414028
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_10,Wind,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,11414028
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_11,Wind,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,6039377
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_11,Wind,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,6039377
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_12,Wind,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,22968755
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_12,Wind,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,24390058
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_13,Wind,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,7660243
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_14,Wind,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,1360764
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_14,Wind,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,1360764
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_15,Wind,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,12858949
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_18,Wind,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,442394
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_19,Wind,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,5164122
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_2,Wind,2030,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,15577150
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_2,Wind,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,15577150
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_2,Wind,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,15577150
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_3,Wind,2030,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,1637642
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_3,Wind,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,1637642
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_3,Wind,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,1637642
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_4,Wind,2030,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,16079501
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_4,Wind,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,16079501
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_4,Wind,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,16079501
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_5,Wind,2030,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,9092553
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_5,Wind,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,9092553
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_5,Wind,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,9092553
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_6,Wind,2030,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,23209960
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_6,Wind,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,23209960
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_6,Wind,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,23209960
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_7,Wind,2030,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,1705256
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_7,Wind,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,1705256
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_7,Wind,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,1705256
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_8,Wind,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,2799673
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_8,Wind,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,2799673
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_9,Wind,2030,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,15739133
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_9,Wind,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,27852785
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_9,Wind,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,27852785
USENSYS,SRCE,SRCE_natural_gas_fired_combined_cycle_1,Natural Gas,2030,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,16485336
USENSYS,SRCE,SRCE_natural_gas_fired_combined_cycle_1,Natural Gas,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,14676839
USENSYS,SRCE,SRCE_natural_gas_fired_combined_cycle_1,Natural Gas,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,10541084
USENSYS,SRCE,SRCE_natural_gas_fired_combined_cycle_2,Natural Gas,2030,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,2348741
USENSYS,SRCE,SRCE_natural_gas_fired_combined_cycle_2,Natural Gas,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,2480074
USENSYS,SRCE,SRCE_natural_gas_fired_combined_cycle_2,Natural Gas,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,1648059
USENSYS,SRCE,SRCE_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,831843
USENSYS,SRCE,SRCE_natural_gas_fired_combustion_turbine_1,Natural Gas,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,1537789
USENSYS,SRCE,SRCE_natural_gas_fired_combustion_turbine_1,Natural Gas,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,603889
USENSYS,SRCE,SRCE_natural_gas_fired_combustion_turbine_2,Natural Gas,2030,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,44157
USENSYS,SRCE,SRCE_natural_gas_fired_combustion_turbine_2,Natural Gas,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,62808
USENSYS,SRCE,SRCE_natural_gas_fired_combustion_turbine_2,Natural Gas,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,28482
USENSYS,SRCE,SRCE_natural_gas_fired_combustion_turbine_3,Natural Gas,2030,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,5532
USENSYS,SRCE,SRCE_natural_gas_fired_combustion_turbine_3,Natural Gas,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,48528
USENSYS,SRCE,SRCE_natural_gas_fired_combustion_turbine_3,Natural Gas,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,40799
USENSYS,SRCE,SRCE_natural_gas_internal_combustion_engine_1,Natural Gas,2030,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,1692
USENSYS,SRCE,SRCE_natural_gas_internal_combustion_engine_1,Natural Gas,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,2073
USENSYS,SRCE,SRCE_natural_gas_internal_combustion_engine_1,Natural Gas,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,1245
USENSYS,SRCE,SRCE_natural_gas_steam_turbine_1,Natural Gas,2030,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,20964
USENSYS,SRCE,SRCE_natural_gas_steam_turbine_1,Natural Gas,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,23462
USENSYS,SRCE,SRCE_natural_gas_steam_turbine_1,Natural Gas,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,14880
USENSYS,SRCE,SRCE_naturalgas_ccavgcf_moderate_0,Natural Gas,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,4278808
USENSYS,SRCE,SRCE_nuclear_1,Nuclear,2030,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,65251691
USENSYS,SRCE,SRCE_nuclear_1,Nuclear,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,62461274
USENSYS,SRCE,SRCE_nuclear_1,Nuclear,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,57287607
USENSYS,SRCE,SRCE_petroleum_liquids_1,Other,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,543
USENSYS,SRCE,SRCE_petroleum_liquids_1,Other,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,713
USENSYS,SRCE,SRCE_small_hydroelectric_1,Hydro,2030,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,402960
USENSYS,SRCE,SRCE_small_hydroelectric_1,Hydro,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,359160
USENSYS,SRCE,SRCE_small_hydroelectric_1,Hydro,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,245280
USENSYS,SRCE,SRCE_solar_photovoltaic_1,Solar,2030,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,3582097
USENSYS,SRCE,SRCE_solar_photovoltaic_1,Solar,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,3582097
USENSYS,SRCE,SRCE_solar_photovoltaic_1,Solar,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,3032525
USENSYS,SRCE,SRCE_utilitypv_class1_moderate_0,Solar,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,23600590
USENSYS,SRCE,SRCE_utilitypv_class1_moderate_0,Solar,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,29075399
USENSYS,SRCE,SRCE_utilitypv_class1_moderate_1,Solar,2030,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,36781462
USENSYS,SRCE,SRCE_utilitypv_class1_moderate_1,Solar,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,36781462
USENSYS,SRCE,SRCE_utilitypv_class1_moderate_1,Solar,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,36781462
USENSYS,SRCE,SRCE_utilitypv_class1_moderate_3,Solar,2030,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,13363728
USENSYS,SRCE,SRCE_utilitypv_class1_moderate_3,Solar,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,33939559
USENSYS,SRCE,SRCE_utilitypv_class1_moderate_3,Solar,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,33939559
USENSYS,SRCE,SRCE_utilitypv_class1_moderate_5,Solar,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,34696260
USENSYS,SRSE,SRSE_batteries_1,Battery,2030,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,156314
USENSYS,SRSE,SRSE_batteries_1,Battery,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,145031
USENSYS,SRSE,SRSE_batteries_1,Battery,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,126723
USENSYS,SRSE,SRSE_battery_moderate_0,Battery,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,9307741
USENSYS,SRSE,SRSE_battery_moderate_0,Battery,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,31441215
USENSYS,SRSE,SRSE_biomass_1,Biomass,2030,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,1183833
USENSYS,SRSE,SRSE_biomass_1,Biomass,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,708067
USENSYS,SRSE,SRSE_biomass_1,Biomass,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,501631
