model,line_name,planning_year,case,unit,end_value
USENSYS,NWPP_to_SPPN,2050,base-8760-perfect foresight-cheap transmission,MW,10000
USENSYS,NYCW_to_NYUP,2030,base-8760-perfect foresight-cheap transmission,MW,2489
USENSYS,NYCW_to_NYUP,2040,base-8760-perfect foresight-cheap transmission,MW,8352
USENSYS,NYCW_to_NYUP,2050,base-8760-perfect foresight-cheap transmission,MW,10272
USENSYS,NYCW_to_PJME,2030,base-8760-perfect foresight-cheap transmission,MW,10000
USENSYS,NYCW_to_PJME,2040,base-8760-perfect foresight-cheap transmission,MW,10000
USENSYS,NYCW_to_PJME,2050,base-8760-perfect foresight-cheap transmission,MW,10000
USENSYS,NYUP_to_PJME,2030,base-8760-perfect foresight-cheap transmission,MW,11594
USENSYS,NYUP_to_PJME,2040,base-8760-perfect foresight-cheap transmission,MW,12550
USENSYS,NYUP_to_PJME,2050,base-8760-perfect foresight-cheap transmission,MW,12550
USENSYS,PJMC_to_PJMW,2030,base-8760-perfect foresight-cheap transmission,MW,2536
USENSYS,PJMC_to_PJMW,2040,base-8760-perfect foresight-cheap transmission,MW,10000
USENSYS,PJMC_to_PJMW,2050,base-8760-perfect foresight-cheap transmission,MW,10000
USENSYS,PJMD_to_PJME,2030,base-8760-perfect foresight-cheap transmission,MW,8035
USENSYS,PJMD_to_PJME,2040,base-8760-perfect foresight-cheap transmission,MW,10828
USENSYS,PJMD_to_PJME,2050,base-8760-perfect foresight-cheap transmission,MW,12000
USENSYS,PJMD_to_PJMW,2030,base-8760-perfect foresight-cheap transmission,MW,6930
USENSYS,PJMD_to_PJMW,2040,base-8760-perfect foresight-cheap transmission,MW,6930
USENSYS,PJMD_to_PJMW,2050,base-8760-perfect foresight-cheap transmission,MW,7357
USENSYS,PJMD_to_SRCA,2030,base-8760-perfect foresight-cheap transmission,MW,1130
USENSYS,PJMD_to_SRCA,2040,base-8760-perfect foresight-cheap transmission,MW,5844
USENSYS,PJMD_to_SRCA,2050,base-8760-perfect foresight-cheap transmission,MW,7445
USENSYS,PJME_to_PJMW,2030,base-8760-perfect foresight-cheap transmission,MW,8122
USENSYS,PJME_to_PJMW,2040,base-8760-perfect foresight-cheap transmission,MW,38746
USENSYS,PJME_to_PJMW,2050,base-8760-perfect foresight-cheap transmission,MW,38850
USENSYS,PJMW_to_SRCA,2030,base-8760-perfect foresight-cheap transmission,MW,1219
USENSYS,PJMW_to_SRCA,2040,base-8760-perfect foresight-cheap transmission,MW,1431
USENSYS,PJMW_to_SRCA,2050,base-8760-perfect foresight-cheap transmission,MW,5811
USENSYS,PJMW_to_SRCE,2030,base-8760-perfect foresight-cheap transmission,MW,3333
USENSYS,PJMW_to_SRCE,2040,base-8760-perfect foresight-cheap transmission,MW,14060
USENSYS,PJMW_to_SRCE,2050,base-8760-perfect foresight-cheap transmission,MW,16281
