WATER_NODES,TIMEPOINTS,wnode_tp_inflow,wnode_tp_consumption
ERCOT_conventional_hydroelectric_1_inlet,149,9.568053288,0
ERCOT_conventional_hydroelectric_1_inlet,150,9.513064475999998,0
ERCOT_conventional_hydroelectric_1_inlet,151,9.458075664,0
ERCOT_conventional_hydroelectric_1_inlet,152,9.458075664,0
ERCOT_conventional_hydroelectric_1_inlet,153,9.403086852000001,0
ERCOT_conventional_hydroelectric_1_inlet,154,9.34809804,0
ERCOT_conventional_hydroelectric_1_inlet,155,9.34809804,0
ERCOT_conventional_hydroelectric_1_inlet,156,9.293109228,0
ERCOT_conventional_hydroelectric_1_inlet,157,9.238120416,0
ERCOT_conventional_hydroelectric_1_inlet,158,9.183131604,0
ERCOT_conventional_hydroelectric_1_inlet,159,9.183131604,0
ERCOT_conventional_hydroelectric_1_inlet,160,9.128142792,0
ERCOT_conventional_hydroelectric_1_inlet,161,9.07315398,0
ERCOT_conventional_hydroelectric_1_inlet,162,9.07315398,0
ERCOT_conventional_hydroelectric_1_inlet,163,9.018165168000001,0
ERCOT_conventional_hydroelectric_1_inlet,164,8.963176355999998,0
ERCOT_conventional_hydroelectric_1_inlet,165,8.963176355999998,0
ERCOT_conventional_hydroelectric_1_inlet,166,8.908187544,0
ERCOT_conventional_hydroelectric_1_inlet,167,8.853198732,0
ERCOT_conventional_hydroelectric_1_inlet,168,8.79820992,0
ERCOT_conventional_hydroelectric_1_inlet,169,8.79820992,0
ERCOT_conventional_hydroelectric_1_inlet,170,8.743221108,0
ERCOT_conventional_hydroelectric_1_inlet,171,8.688232296,0
ERCOT_conventional_hydroelectric_1_inlet,172,8.688232296,0
ERCOT_conventional_hydroelectric_1_inlet,173,8.633243484,0
ERCOT_conventional_hydroelectric_1_inlet,174,8.578254672,0
ERCOT_conventional_hydroelectric_1_inlet,175,8.578254672,0
ERCOT_conventional_hydroelectric_1_inlet,176,8.52326586,0
ERCOT_conventional_hydroelectric_1_inlet,177,8.468277048,0
ERCOT_conventional_hydroelectric_1_inlet,178,8.413288236,0
ERCOT_conventional_hydroelectric_1_inlet,179,8.413288236,0
ERCOT_conventional_hydroelectric_1_inlet,180,8.358299424,0
ERCOT_conventional_hydroelectric_1_inlet,181,8.303310612,0
ERCOT_conventional_hydroelectric_1_inlet,182,8.303310612,0
ERCOT_conventional_hydroelectric_1_inlet,183,8.303310612,0
ERCOT_conventional_hydroelectric_1_inlet,184,8.303310612,0
ERCOT_conventional_hydroelectric_1_inlet,185,8.303310612,0
ERCOT_conventional_hydroelectric_1_inlet,186,8.303310612,0
ERCOT_conventional_hydroelectric_1_inlet,187,8.303310612,0
ERCOT_conventional_hydroelectric_1_inlet,188,8.303310612,0
ERCOT_conventional_hydroelectric_1_inlet,189,8.303310612,0
ERCOT_conventional_hydroelectric_1_inlet,190,8.303310612,0
ERCOT_conventional_hydroelectric_1_inlet,191,8.303310612,0
ERCOT_conventional_hydroelectric_1_inlet,192,8.303310612,0
ERCOT_conventional_hydroelectric_1_inlet,193,8.303310612,0
ERCOT_conventional_hydroelectric_1_inlet,194,8.303310612,0
ERCOT_conventional_hydroelectric_1_inlet,195,8.303310612,0
ERCOT_conventional_hydroelectric_1_inlet,196,8.303310612,0
ERCOT_conventional_hydroelectric_1_inlet,197,8.303310612,0
ERCOT_conventional_hydroelectric_1_inlet,198,8.303310612,0
ERCOT_conventional_hydroelectric_1_inlet,199,8.303310612,0
ERCOT_conventional_hydroelectric_1_inlet,200,8.303310612,0
ERCOT_conventional_hydroelectric_1_inlet,201,8.303310612,0
ERCOT_conventional_hydroelectric_1_inlet,202,8.303310612,0
ERCOT_conventional_hydroelectric_1_inlet,203,8.303310612,0
ERCOT_conventional_hydroelectric_1_inlet,204,8.303310612,0
ERCOT_conventional_hydroelectric_1_inlet,205,8.303310612,0
ERCOT_conventional_hydroelectric_1_inlet,206,8.303310612,0
ERCOT_conventional_hydroelectric_1_inlet,207,8.303310612,0
ERCOT_conventional_hydroelectric_1_inlet,208,8.303310612,0
ERCOT_conventional_hydroelectric_1_inlet,209,8.303310612,0
ERCOT_conventional_hydroelectric_1_inlet,210,8.303310612,0
ERCOT_conventional_hydroelectric_1_inlet,211,8.303310612,0
ERCOT_conventional_hydroelectric_1_inlet,212,8.303310612,0
ERCOT_conventional_hydroelectric_1_inlet,213,8.303310612,0
ERCOT_conventional_hydroelectric_1_inlet,214,8.303310612,0
ERCOT_conventional_hydroelectric_1_inlet,215,8.303310612,0
ERCOT_conventional_hydroelectric_1_inlet,216,8.303310612,0
ERCOT_conventional_hydroelectric_1_inlet,217,8.303310612,0
ERCOT_conventional_hydroelectric_1_inlet,218,8.303310612,0
