GENERATION_PROJECT,build_year,build_gen_predetermined,build_gen_energy_predetermined
Eastern_conventional_hydroelectric_1,1927,244.3,.
Eastern_conventional_hydroelectric_1,1952,592.3,.
Eastern_conventional_hydroelectric_1,1949,364.9,.
Eastern_conventional_hydroelectric_1,1985,835.0,.
Eastern_conventional_hydroelectric_1,1961,2087.4,.
Eastern_conventional_hydroelectric_1,1962,1881.2,.
Eastern_conventional_hydroelectric_1,1931,450.7,.
Eastern_conventional_hydroelectric_1,1928,735.2,.
Eastern_conventional_hydroelectric_1,1970,241.2,.
Eastern_conventional_hydroelectric_1,1939,235.7,.
Eastern_conventional_hydroelectric_1,1936,296.5,.
Eastern_conventional_hydroelectric_1,1937,47.6,.
Eastern_conventional_hydroelectric_1,1941,152.2,.
Eastern_conventional_hydroelectric_1,1948,211.4,.
Eastern_conventional_hydroelectric_1,1950,406.1,.
Eastern_conventional_hydroelectric_1,1926,236.2,.
Eastern_conventional_hydroelectric_1,1925,524.2,.
Eastern_conventional_hydroelectric_1,1982,111.1,.
Eastern_conventional_hydroelectric_1,1932,144.2,.
Eastern_conventional_hydroelectric_1,1965,722.6,.
Eastern_conventional_hydroelectric_1,1972,99.2,.
Eastern_conventional_hydroelectric_1,1969,91.7,.
Eastern_conventional_hydroelectric_1,1944,260.3,.
Eastern_conventional_hydroelectric_1,1955,426.4,.
Eastern_conventional_hydroelectric_1,1953,946.9,.
Eastern_conventional_hydroelectric_1,1920,77.3,.
Eastern_conventional_hydroelectric_1,1903,39.9,.
Eastern_conventional_hydroelectric_1,1919,209.8,.
Eastern_conventional_hydroelectric_1,1906,6.1,.
Eastern_conventional_hydroelectric_1,1914,112.2,.
Eastern_conventional_hydroelectric_1,1986,289.7,.
Eastern_conventional_hydroelectric_1,1983,290.9,.
Eastern_conventional_hydroelectric_1,2003,80.9,.
Eastern_conventional_hydroelectric_1,2002,16.1,.
Eastern_conventional_hydroelectric_1,2001,72.5,.
Eastern_conventional_hydroelectric_1,1951,418.0,.
Eastern_conventional_hydroelectric_1,1921,82.6,.
Eastern_conventional_hydroelectric_1,1915,120.5,.
Eastern_conventional_hydroelectric_1,1956,493.0,.
Eastern_conventional_hydroelectric_1,2005,25.8,.
Eastern_conventional_hydroelectric_1,1911,90.8,.
Eastern_conventional_hydroelectric_1,1916,111.7,.
Eastern_conventional_hydroelectric_1,1917,182.0,.
Eastern_conventional_hydroelectric_1,1959,537.6,.
Eastern_conventional_hydroelectric_1,1913,262.5,.
Eastern_conventional_hydroelectric_1,1923,217.8,.
Eastern_conventional_hydroelectric_1,1924,323.3,.
Eastern_conventional_hydroelectric_1,1930,681.5,.
Eastern_conventional_hydroelectric_1,1994,19.2,.
Eastern_conventional_hydroelectric_1,1993,32.7,.
Eastern_conventional_hydroelectric_1,2004,63.0,.
Eastern_conventional_hydroelectric_1,1984,128.0,.
Eastern_conventional_hydroelectric_1,1990,295.5,.
Eastern_conventional_hydroelectric_1,1991,30.5,.
Eastern_conventional_hydroelectric_1,1942,584.9,.
Eastern_conventional_hydroelectric_1,1996,23.2,.
Eastern_conventional_hydroelectric_1,1989,119.3,.
Eastern_conventional_hydroelectric_1,2008,23.1,.
