model,zone,planning_year,unit,case,value
USENSYS,NWPP,2030,MWh,26z-debug-noCO2Cap,214458329
USENSYS,NWPP,2040,MWh,26z-debug-noCO2Cap,301539908
USENSYS,NWPP,2050,MWh,26z-debug-noCO2Cap,373896245
USENSYS,NYCW,2030,MWh,26z-debug-noCO2Cap,83278011
USENSYS,NYCW,2040,MWh,26z-debug-noCO2Cap,106802455
USENSYS,NYCW,2050,MWh,26z-debug-noCO2Cap,120633106
USENSYS,NYUP,2030,MWh,26z-debug-noCO2Cap,74984211
USENSYS,NYUP,2040,MWh,26z-debug-noCO2Cap,92695671
USENSYS,NYUP,2050,MWh,26z-debug-noCO2Cap,103807400
USENSYS,PJMC,2030,MWh,26z-debug-noCO2Cap,125400592
USENSYS,PJMC,2040,MWh,26z-debug-noCO2Cap,153147033
USENSYS,PJMC,2050,MWh,26z-debug-noCO2Cap,169420123
USENSYS,PJMD,2030,MWh,26z-debug-noCO2Cap,117180826
USENSYS,PJMD,2040,MWh,26z-debug-noCO2Cap,146143386
USENSYS,PJMD,2050,MWh,26z-debug-noCO2Cap,168671939
USENSYS,PJME,2030,MWh,26z-debug-noCO2Cap,309352610
USENSYS,PJME,2040,MWh,26z-debug-noCO2Cap,391069157
USENSYS,PJME,2050,MWh,26z-debug-noCO2Cap,444079685
USENSYS,PJMW,2030,MWh,26z-debug-noCO2Cap,329880583
USENSYS,PJMW,2040,MWh,26z-debug-noCO2Cap,413509102
USENSYS,PJMW,2050,MWh,26z-debug-noCO2Cap,467658385
USENSYS,RMRG,2030,MWh,26z-debug-noCO2Cap,100604418
USENSYS,RMRG,2040,MWh,26z-debug-noCO2Cap,151172772
USENSYS,RMRG,2050,MWh,26z-debug-noCO2Cap,189615843
USENSYS,SPPC,2030,MWh,26z-debug-noCO2Cap,83806577
USENSYS,SPPC,2040,MWh,26z-debug-noCO2Cap,109240236
USENSYS,SPPC,2050,MWh,26z-debug-noCO2Cap,125309920
USENSYS,SPPN,2030,MWh,26z-debug-noCO2Cap,54379101
USENSYS,SPPN,2040,MWh,26z-debug-noCO2Cap,75214725
USENSYS,SPPN,2050,MWh,26z-debug-noCO2Cap,88589969
USENSYS,SPPS,2030,MWh,26z-debug-noCO2Cap,131714566
USENSYS,SPPS,2040,MWh,26z-debug-noCO2Cap,178059049
USENSYS,SPPS,2050,MWh,26z-debug-noCO2Cap,210868297
USENSYS,SRCA,2030,MWh,26z-debug-noCO2Cap,229375405
USENSYS,SRCA,2040,MWh,26z-debug-noCO2Cap,288745565
USENSYS,SRCA,2050,MWh,26z-debug-noCO2Cap,341837563
USENSYS,SRCE,2030,MWh,26z-debug-noCO2Cap,225798771
USENSYS,SRCE,2040,MWh,26z-debug-noCO2Cap,286556760
USENSYS,SRCE,2050,MWh,26z-debug-noCO2Cap,333877525
USENSYS,SRSE,2030,MWh,26z-debug-noCO2Cap,256749974
USENSYS,SRSE,2040,MWh,26z-debug-noCO2Cap,334555619
USENSYS,SRSE,2050,MWh,26z-debug-noCO2Cap,400187410
USENSYS,SRSG,2030,MWh,26z-debug-noCO2Cap,148047481
USENSYS,SRSG,2040,MWh,26z-debug-noCO2Cap,205435077
USENSYS,SRSG,2050,MWh,26z-debug-noCO2Cap,259286804
USENSYS,TRE,2030,MWh,26z-debug-noCO2Cap,444185672
USENSYS,TRE,2040,MWh,26z-debug-noCO2Cap,557051942
USENSYS,TRE,2050,MWh,26z-debug-noCO2Cap,650633444
USENSYS,TRE_WEST,2030,MWh,26z-debug-noCO2Cap,20884109
USENSYS,TRE_WEST,2040,MWh,26z-debug-noCO2Cap,26748746
USENSYS,TRE_WEST,2050,MWh,26z-debug-noCO2Cap,31511713
