GENERATION_PROJECT,timepoint,gen_max_capacity_factor
Western_onshore_wind_turbine_1,29,0.23896831592177636
Western_solar_photovoltaic_1,29,0.0
ERCOT_onshore_wind_turbine_1,30,0.18229086032721642
ERCOT_solar_photovoltaic_1,30,0.0
Eastern_onshore_wind_turbine_1,30,0.750537378049934
Eastern_solar_photovoltaic_1,30,0.0
Western_onshore_wind_turbine_1,30,0.22282873785358076
Western_solar_photovoltaic_1,30,0.0
ERCOT_onshore_wind_turbine_1,31,0.18276732449629696
ERCOT_solar_photovoltaic_1,31,0.0
Eastern_onshore_wind_turbine_1,31,0.7086402775237698
Eastern_solar_photovoltaic_1,31,0.0
Western_onshore_wind_turbine_1,31,0.20183990557665366
Western_solar_photovoltaic_1,31,0.0
ERCOT_onshore_wind_turbine_1,32,0.19691090574273634
ERCOT_solar_photovoltaic_1,32,0.0
Eastern_onshore_wind_turbine_1,32,0.6900818991522093
Eastern_solar_photovoltaic_1,32,0.0
Western_onshore_wind_turbine_1,32,0.22812543348695147
Western_solar_photovoltaic_1,32,0.0
ERCOT_onshore_wind_turbine_1,33,0.1817055714251326
ERCOT_solar_photovoltaic_1,33,0.0
Eastern_onshore_wind_turbine_1,33,0.661183138780804
Eastern_solar_photovoltaic_1,33,0.14839653052917234
Western_onshore_wind_turbine_1,33,0.2710455484527816
Western_solar_photovoltaic_1,33,0.0
ERCOT_onshore_wind_turbine_1,34,0.16889941024015664
ERCOT_solar_photovoltaic_1,34,0.18324807046979863
Eastern_onshore_wind_turbine_1,34,0.64623579829601
Eastern_solar_photovoltaic_1,34,0.37238523541383994
Western_onshore_wind_turbine_1,34,0.2840540979101627
Western_solar_photovoltaic_1,34,0.001046839345984379
ERCOT_onshore_wind_turbine_1,35,0.10582104961204233
ERCOT_solar_photovoltaic_1,35,0.4462864932885906
Eastern_onshore_wind_turbine_1,35,0.6207822668154978
Eastern_solar_photovoltaic_1,35,0.5437212795115333
Western_onshore_wind_turbine_1,35,0.2543517697620045
Western_solar_photovoltaic_1,35,0.07203113869138517
ERCOT_onshore_wind_turbine_1,36,0.09570583340688615
ERCOT_solar_photovoltaic_1,36,0.6097833053691275
Eastern_onshore_wind_turbine_1,36,0.611289125238855
Eastern_solar_photovoltaic_1,36,0.6433489755766622
Western_onshore_wind_turbine_1,36,0.23240303587276276
Western_solar_photovoltaic_1,36,0.31601119286846735
ERCOT_onshore_wind_turbine_1,37,0.10062103035457806
ERCOT_solar_photovoltaic_1,37,0.7145132550335569
Eastern_onshore_wind_turbine_1,37,0.5833667526439594
Eastern_solar_photovoltaic_1,37,0.6753933948439621
Western_onshore_wind_turbine_1,37,0.19508134643367164
Western_solar_photovoltaic_1,37,0.494032778107401
ERCOT_onshore_wind_turbine_1,38,0.08810648695707993
ERCOT_solar_photovoltaic_1,38,0.7594500838926175
Eastern_onshore_wind_turbine_1,38,0.5480596911544291
Eastern_solar_photovoltaic_1,38,0.6709313765264586
Western_onshore_wind_turbine_1,38,0.17691958653746526
Western_solar_photovoltaic_1,38,0.5956631809825798
ERCOT_onshore_wind_turbine_1,39,0.10748482070498368
ERCOT_solar_photovoltaic_1,39,0.7646160234899329
Eastern_onshore_wind_turbine_1,39,0.5264951930495032
Eastern_solar_photovoltaic_1,39,0.6256257937584804
Western_onshore_wind_turbine_1,39,0.14876064222291296
Western_solar_photovoltaic_1,39,0.6523772383305289
ERCOT_onshore_wind_turbine_1,40,0.08471997400242323
ERCOT_solar_photovoltaic_1,40,0.7323128355704698
Eastern_onshore_wind_turbine_1,40,0.5087555650852311
Eastern_solar_photovoltaic_1,40,0.5162982808683854
Western_onshore_wind_turbine_1,40,0.12012871983385817
Western_solar_photovoltaic_1,40,0.6562696267909076
ERCOT_onshore_wind_turbine_1,41,0.07695574915547994
ERCOT_solar_photovoltaic_1,41,0.6441951342281879
Eastern_onshore_wind_turbine_1,41,0.4697719932647617
Eastern_solar_photovoltaic_1,41,0.34262055291723204
Western_onshore_wind_turbine_1,41,0.1319792894823384
Western_solar_photovoltaic_1,41,0.6503553603213665
ERCOT_onshore_wind_turbine_1,42,0.07155835814069182
ERCOT_solar_photovoltaic_1,42,0.497351677852349
Eastern_onshore_wind_turbine_1,42,0.4329590182612406
Eastern_solar_photovoltaic_1,42,0.10812898982360923
Western_onshore_wind_turbine_1,42,0.15138121398871063
Western_solar_photovoltaic_1,42,0.565226519049518
ERCOT_onshore_wind_turbine_1,43,0.04824005993885755
ERCOT_solar_photovoltaic_1,43,0.26462994966442954
Eastern_onshore_wind_turbine_1,43,0.37352120822270857
Eastern_solar_photovoltaic_1,43,0.000928325644504749
Western_onshore_wind_turbine_1,43,0.1435405601430766
Western_solar_photovoltaic_1,43,0.42178749161081985
ERCOT_onshore_wind_turbine_1,44,0.051238201192357995
ERCOT_solar_photovoltaic_1,44,0.0
Eastern_onshore_wind_turbine_1,44,0.28583120345086366
Eastern_solar_photovoltaic_1,44,0.0
Western_onshore_wind_turbine_1,44,0.16369516080349944
Western_solar_photovoltaic_1,44,0.19451004318604043
ERCOT_onshore_wind_turbine_1,45,0.0917246603865936
ERCOT_solar_photovoltaic_1,45,0.0
Eastern_onshore_wind_turbine_1,45,0.277300903076894
Eastern_solar_photovoltaic_1,45,0.0
Western_onshore_wind_turbine_1,45,0.21312296928988778
Western_solar_photovoltaic_1,45,0.0
ERCOT_onshore_wind_turbine_1,46,0.1234671555922874
ERCOT_solar_photovoltaic_1,46,0.0
Eastern_onshore_wind_turbine_1,46,0.2696409180440901
Eastern_solar_photovoltaic_1,46,0.0
Western_onshore_wind_turbine_1,46,0.24448918005757297
Western_solar_photovoltaic_1,46,0.0
ERCOT_onshore_wind_turbine_1,47,0.13263296035369543
ERCOT_solar_photovoltaic_1,47,0.0
Eastern_onshore_wind_turbine_1,47,0.25601634472479906
Eastern_solar_photovoltaic_1,47,0.0
Western_onshore_wind_turbine_1,47,0.2923370156636439
Western_solar_photovoltaic_1,47,0.0
ERCOT_onshore_wind_turbine_1,48,0.18169325025877217
ERCOT_solar_photovoltaic_1,48,0.0
Eastern_onshore_wind_turbine_1,48,0.25436159610852904
Eastern_solar_photovoltaic_1,48,0.0
Western_onshore_wind_turbine_1,48,0.29391704710805977
Western_solar_photovoltaic_1,48,0.0
ERCOT_onshore_wind_turbine_1,49,0.22980629077166265
ERCOT_solar_photovoltaic_1,49,0.0
Eastern_onshore_wind_turbine_1,49,0.27973726831852375
Eastern_solar_photovoltaic_1,49,0.0
Western_onshore_wind_turbine_1,49,0.33629905711801567
Western_solar_photovoltaic_1,49,0.0
ERCOT_onshore_wind_turbine_1,50,0.2922017544352348
ERCOT_solar_photovoltaic_1,50,0.0
Eastern_onshore_wind_turbine_1,50,0.27835120336677827
Eastern_solar_photovoltaic_1,50,0.0
Western_onshore_wind_turbine_1,50,0.3490478986750999
Western_solar_photovoltaic_1,50,0.0
ERCOT_onshore_wind_turbine_1,51,0.35418620002086226
ERCOT_solar_photovoltaic_1,51,0.0
Eastern_onshore_wind_turbine_1,51,0.3104218415957722
Eastern_solar_photovoltaic_1,51,0.0
Western_onshore_wind_turbine_1,51,0.3823846544042454
Western_solar_photovoltaic_1,51,0.0
ERCOT_onshore_wind_turbine_1,52,0.3892330991679171
ERCOT_solar_photovoltaic_1,52,0.0
Eastern_onshore_wind_turbine_1,52,0.32430480484836255
Eastern_solar_photovoltaic_1,52,0.0
Western_onshore_wind_turbine_1,52,0.3449953815451011
Western_solar_photovoltaic_1,52,0.0
ERCOT_onshore_wind_turbine_1,53,0.4022633361952065
ERCOT_solar_photovoltaic_1,53,0.0
Eastern_onshore_wind_turbine_1,53,0.3584318212681335
Eastern_solar_photovoltaic_1,53,0.0
Western_onshore_wind_turbine_1,53,0.3831647029673978
Western_solar_photovoltaic_1,53,0.0
ERCOT_onshore_wind_turbine_1,54,0.4333885662817848
ERCOT_solar_photovoltaic_1,54,0.0
Eastern_onshore_wind_turbine_1,54,0.3890765208416105
Eastern_solar_photovoltaic_1,54,0.0
Western_onshore_wind_turbine_1,54,0.399240674568315
Western_solar_photovoltaic_1,54,0.0
ERCOT_onshore_wind_turbine_1,55,0.4585007823344861
ERCOT_solar_photovoltaic_1,55,0.0
Eastern_onshore_wind_turbine_1,55,0.43585293342330467
Eastern_solar_photovoltaic_1,55,0.0
Western_onshore_wind_turbine_1,55,0.3835185089580546
Western_solar_photovoltaic_1,55,0.0
ERCOT_onshore_wind_turbine_1,56,0.45608092548163714
ERCOT_solar_photovoltaic_1,56,0.0
Eastern_onshore_wind_turbine_1,56,0.505293388787636
Eastern_solar_photovoltaic_1,56,0.0
Western_onshore_wind_turbine_1,56,0.32555698286774876
Western_solar_photovoltaic_1,56,0.0
ERCOT_onshore_wind_turbine_1,57,0.4546057639997753
ERCOT_solar_photovoltaic_1,57,0.0
Eastern_onshore_wind_turbine_1,57,0.5597071897197224
Eastern_solar_photovoltaic_1,57,0.16682526119402985
Western_onshore_wind_turbine_1,57,0.326834808247627
Western_solar_photovoltaic_1,57,0.0
ERCOT_onshore_wind_turbine_1,58,0.48606421642180264
ERCOT_solar_photovoltaic_1,58,0.18686174496644295
Eastern_onshore_wind_turbine_1,58,0.6024930181813595
Eastern_solar_photovoltaic_1,58,0.4003899158751696
Western_onshore_wind_turbine_1,58,0.30370915717252533
Western_solar_photovoltaic_1,58,0.0008115405939053213
ERCOT_onshore_wind_turbine_1,59,0.5188542550972101
ERCOT_solar_photovoltaic_1,59,0.4410928691275168
Eastern_onshore_wind_turbine_1,59,0.6147607012299587
Eastern_solar_photovoltaic_1,59,0.5687372279511533
Western_onshore_wind_turbine_1,59,0.25942122362926223
Western_solar_photovoltaic_1,59,0.04918482069039306
ERCOT_onshore_wind_turbine_1,60,0.42639533889125153
ERCOT_solar_photovoltaic_1,60,0.6014427852348992
Eastern_onshore_wind_turbine_1,60,0.6077949113635074
Eastern_solar_photovoltaic_1,60,0.6638870189959295
Western_onshore_wind_turbine_1,60,0.285989863005059
Western_solar_photovoltaic_1,60,0.3144781618698389
ERCOT_onshore_wind_turbine_1,61,0.429620371588821
ERCOT_solar_photovoltaic_1,61,0.7062416107382551
Eastern_onshore_wind_turbine_1,61,0.5805848463444936
Eastern_solar_photovoltaic_1,61,0.6932197116689283
Western_onshore_wind_turbine_1,61,0.2742990156726537
Western_solar_photovoltaic_1,61,0.4858185286593847
ERCOT_onshore_wind_turbine_1,62,0.4157560813467387
ERCOT_solar_photovoltaic_1,62,0.7548920302013423
Eastern_onshore_wind_turbine_1,62,0.5801839350692758
Eastern_solar_photovoltaic_1,62,0.6791452666214383
Western_onshore_wind_turbine_1,62,0.20761340532212508
Western_solar_photovoltaic_1,62,0.6075804349729116
ERCOT_onshore_wind_turbine_1,63,0.37848100652346606
ERCOT_solar_photovoltaic_1,63,0.7616401845637584
Eastern_onshore_wind_turbine_1,63,0.544977954497201
Eastern_solar_photovoltaic_1,63,0.6355293744911805
Western_onshore_wind_turbine_1,63,0.17339664562864054
Western_solar_photovoltaic_1,63,0.654641480483606
ERCOT_onshore_wind_turbine_1,64,0.37197312861578957
ERCOT_solar_photovoltaic_1,64,0.7254660234899328
Eastern_onshore_wind_turbine_1,64,0.5155907304286043
Eastern_solar_photovoltaic_1,64,0.5278517781546812
Western_onshore_wind_turbine_1,64,0.1622740646637745
Western_solar_photovoltaic_1,64,0.6773732071470953
ERCOT_onshore_wind_turbine_1,65,0.39542110738443514
ERCOT_solar_photovoltaic_1,65,0.6384820469798658
Eastern_onshore_wind_turbine_1,65,0.4749340007609726
Eastern_solar_photovoltaic_1,65,0.35628480054274086
Western_onshore_wind_turbine_1,65,0.14276533410818137
Western_solar_photovoltaic_1,65,0.6586099026368774
ERCOT_onshore_wind_turbine_1,66,0.3662768051866771
ERCOT_solar_photovoltaic_1,66,0.49224010067114093
Eastern_onshore_wind_turbine_1,66,0.43968499643688236
Eastern_solar_photovoltaic_1,66,0.11917263025780189
Western_onshore_wind_turbine_1,66,0.14762101414998716
Western_solar_photovoltaic_1,66,0.5821410281973719
ERCOT_onshore_wind_turbine_1,67,0.36312888980718466
ERCOT_solar_photovoltaic_1,67,0.26678523489932887
Eastern_onshore_wind_turbine_1,67,0.412417783005085
Eastern_solar_photovoltaic_1,67,0.0007465603799185891
Western_onshore_wind_turbine_1,67,0.14578629149604241
Western_solar_photovoltaic_1,67,0.44531216747235225
ERCOT_onshore_wind_turbine_1,68,0.3815232100588155
ERCOT_solar_photovoltaic_1,68,0.0
Eastern_onshore_wind_turbine_1,68,0.4612614552655311
Eastern_solar_photovoltaic_1,68,0.0
Western_onshore_wind_turbine_1,68,0.19034459430847062
Western_solar_photovoltaic_1,68,0.24017250391495076
ERCOT_onshore_wind_turbine_1,69,0.358809743474528
ERCOT_solar_photovoltaic_1,69,0.0
Eastern_onshore_wind_turbine_1,69,0.517542030913987
Eastern_solar_photovoltaic_1,69,0.0
Western_onshore_wind_turbine_1,69,0.21509926569630458
Western_solar_photovoltaic_1,69,0.0
ERCOT_onshore_wind_turbine_1,70,0.5048959503157421
ERCOT_solar_photovoltaic_1,70,0.0
Eastern_onshore_wind_turbine_1,70,0.5857264343387841
Eastern_solar_photovoltaic_1,70,0.0
Western_onshore_wind_turbine_1,70,0.23638303758463636
Western_solar_photovoltaic_1,70,0.0
ERCOT_onshore_wind_turbine_1,71,0.5578962728782688
ERCOT_solar_photovoltaic_1,71,0.0
Eastern_onshore_wind_turbine_1,71,0.6066912847614183
Eastern_solar_photovoltaic_1,71,0.0
Western_onshore_wind_turbine_1,71,0.22944139986214912
Western_solar_photovoltaic_1,71,0.0
ERCOT_onshore_wind_turbine_1,72,0.5755039999358085
ERCOT_solar_photovoltaic_1,72,0.0
Eastern_onshore_wind_turbine_1,72,0.6068893924201241
Eastern_solar_photovoltaic_1,72,0.0
Western_onshore_wind_turbine_1,72,0.21632194982408243
Western_solar_photovoltaic_1,72,0.0
ERCOT_onshore_wind_turbine_1,73,0.5847539642292602
ERCOT_solar_photovoltaic_1,73,0.0
Eastern_onshore_wind_turbine_1,73,0.5738820370522191
Eastern_solar_photovoltaic_1,73,0.0
Western_onshore_wind_turbine_1,73,0.23726582829907336
Western_solar_photovoltaic_1,73,0.0
ERCOT_onshore_wind_turbine_1,74,0.6371209428935944
ERCOT_solar_photovoltaic_1,74,0.0
Eastern_onshore_wind_turbine_1,74,0.5293842112897225
Eastern_solar_photovoltaic_1,74,0.0
Western_onshore_wind_turbine_1,74,0.25159573157821236
Western_solar_photovoltaic_1,74,0.0
ERCOT_onshore_wind_turbine_1,75,0.7114351320339896
ERCOT_solar_photovoltaic_1,75,0.0
Eastern_onshore_wind_turbine_1,75,0.5457184893222089
Eastern_solar_photovoltaic_1,75,0.0
Western_onshore_wind_turbine_1,75,0.2501152798237671
Western_solar_photovoltaic_1,75,0.0
ERCOT_onshore_wind_turbine_1,76,0.6877899512144239
ERCOT_solar_photovoltaic_1,76,0.0
Eastern_onshore_wind_turbine_1,76,0.5817803402094146
Eastern_solar_photovoltaic_1,76,0.0
Western_onshore_wind_turbine_1,76,0.26613531505232474
Western_solar_photovoltaic_1,76,0.0
ERCOT_onshore_wind_turbine_1,77,0.626819281937301
ERCOT_solar_photovoltaic_1,77,0.0
Eastern_onshore_wind_turbine_1,77,0.5845276987725638
Eastern_solar_photovoltaic_1,77,0.0
Western_onshore_wind_turbine_1,77,0.23129580996400562
Western_solar_photovoltaic_1,77,0.0
ERCOT_onshore_wind_turbine_1,78,0.5224726227061551
ERCOT_solar_photovoltaic_1,78,0.0
Eastern_onshore_wind_turbine_1,78,0.5839569426138359
Eastern_solar_photovoltaic_1,78,0.0
Western_onshore_wind_turbine_1,78,0.22285751354857894
Western_solar_photovoltaic_1,78,0.0
ERCOT_onshore_wind_turbine_1,79,0.5199866878766239
ERCOT_solar_photovoltaic_1,79,0.0
Eastern_onshore_wind_turbine_1,79,0.5913727988026244
Eastern_solar_photovoltaic_1,79,0.0
Western_onshore_wind_turbine_1,79,0.24097050081313998
Western_solar_photovoltaic_1,79,0.0
ERCOT_onshore_wind_turbine_1,80,0.49724399407832975
ERCOT_solar_photovoltaic_1,80,0.0
Eastern_onshore_wind_turbine_1,80,0.5402033566880455
Eastern_solar_photovoltaic_1,80,0.0
Western_onshore_wind_turbine_1,80,0.24129112934106378
Western_solar_photovoltaic_1,80,0.0
ERCOT_onshore_wind_turbine_1,81,0.5050961280460895
ERCOT_solar_photovoltaic_1,81,0.0
Eastern_onshore_wind_turbine_1,81,0.4880748412363073
Eastern_solar_photovoltaic_1,81,0.16397103527815468
Western_onshore_wind_turbine_1,81,0.24256204100387874
Western_solar_photovoltaic_1,81,0.0
ERCOT_onshore_wind_turbine_1,82,0.4965658055638024
ERCOT_solar_photovoltaic_1,82,0.12559127516778523
