Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,Total
t12,0.24838977684577185,0.2278364606173093,0.2073807684859595,0.29078723214134394,0.3205283684386779,95.92175446677578,22.31209102899213,0.4388688560817953,120.51637668832943,0.24681918895298424,0.5111543761084195,0.2302227348348293,0.22382555713220958,0.30027502068092154,0.3704701025029835,32.79096042804805,0.25570603279688375,0.3102845983182966,0.2778631023392741,0.3102517887231222,0.3429381484841244,0.39264068381877826,0.3412067053643615,0.29888236219443187,0.4571366600351061,0.13322159415625087,278.27787273119924
t13,0.24215902129686148,0.2099374581313591,0.19427287860451048,0.28799241125494185,0.3194690793858904,95.91421383819163,22.306815281635775,0.4322369336026428,120.50510654118541,0.23675489939046726,0.5061606155429687,0.2287368459748114,0.2177976452356784,0.2980948543783869,0.3656348912127627,32.784704780940956,0.2492655475666551,0.3028617362453421,0.2703456445418719,0.3023825372252922,0.3420895212746955,0.3888270097374055,0.33721711078529054,0.2905303064506172,0.44799142671498104,0.1292086369308138,278.11080745343804
t14,0.2405718592537267,0.20408916982697564,0.18943545080160748,0.29114515519325523,0.3229670847329591,95.91262238809053,22.306046854267674,0.43110174832525294,120.50153993776154,0.23332806524733476,0.5073752881101558,0.23110824585050377,0.21629496046856764,0.30048638538785055,0.3666857105394928,32.78403914106137,0.24758973953567798,0.30114103400576453,0.2681318855428834,0.3001863895974303,0.34556075175179796,0.38981968150399393,0.33800587380739466,0.2885097504397682,0.44492241808195576,0.12794497596284454,278.0906499451483
t15,0.24534322170185638,0.20616288650661846,0.19210817580024067,0.30074741027762175,0.34125520111944163,95.92187899089903,22.312962331589446,0.4402145193851319,120.50989417420793,0.2369926437401282,0.5254292943845962,0.2449180352314134,0.22279119496559094,0.31365092376523795,0.3821833341674855,32.79619573008112,0.25372063767579117,0.30900414943823634,0.27463628938038526,0.3074809755377016,0.35948943577782844,0.4017695601184709,0.3497925625829571,0.294940054731568,0.45175624691462074,0.1311657059592216,278.3264836859397
t16,0.24930654809297512,0.20906053910253788,0.1955910730220764,0.31547267533376616,0.3685105600554206,95.93516925102637,22.32319168888097,0.4511110975438015,120.52036193217593,0.24164042379174444,0.5577144782797441,0.2666819841641132,0.23175797139513032,0.33529636087106074,0.40354732435283935,32.81349559544444,0.2603640891501033,0.3175934858957117,0.2825111464432311,0.31620939824262184,60.22630858984072,0.4174164723679431,0.3677412886822114,0.3015468701666963,0.4605017889542648,0.13490643243329106,338.50300906570976
t17,0.2597507013260367,0.21922354061713553,0.20653069052436593,153.97402788548933,2746.3655830966386,96.04013567379437,88.24796524827966,134.00204327346603,120.58022941071637,0.254355582414583,253.74157097596756,0.6029593317771759,0.26398395452322404,0.5646654017737961,1242.3231831534888,676.3718125431235,0.277129862176611,0.3390469225310226,0.3022784199103627,0.3381759089164396,243.76734226517613,7.134300181177928,165.19787298281716,0.319051178166228,107.66194883038725,0.14472047651822142,6039.499887491698
t18,0.2817785603395274,0.418410529166367,122.56240681377507,1341.8532697025985,5579.923898696563,1145.3387921751573,245.2688978857615,372.28685961119487,335.2938810794989,0.30358527102672866,1013.1639340632228,848.0989812500598,1644.6537424131002,1816.6004649755735,8749.047904572099,6955.260347114519,0.3576258494853065,0.4657608892187512,0.42740393481413846,0.5222803471267243,403.5108545851576,19.90745953721421,462.0154667347464,0.38668510936845063,298.59255789988134,0.20425122365242399,31356.74750082432
t19,0.3607357834829587,108.52202333422201,343.0259478299238,1969.5738786963982,5257.94841880422,1976.530806282374,245.88128994758227,373.1390278109168,649.4049810368267,0.44357106845694055,1041.4505869798236,923.6783420629725,1772.712079940652,1969.3183191897756,9340.988638446477,7366.133739069577,0.49350633739391586,0.6738189057293953,0.6551056976138088,0.8173112095490264,414.53131780957096,20.54332016190798,473.34528742512794,0.4661139352252514,298.8499868808688,0.3463158873512178,34549.83447053401
t20,0.4702128850283287,637.6103100072155,344.96301784246606,1969.6309640148934,5258.215123069185,1854.3214524656655,246.0980804033019,376.91240906497615,651.4562792999913,0.726623178772844,1042.1102625048754,924.2619775530947,1820.3656359929566,1969.4100466195575,9341.177123671174,7366.434687248731,1.0462695630042598,0.8512692274552521,1.2834094445592636,1.2396544386025579,414.4742089603378,20.68076259403235,473.8049518351573,0.6753021165248794,299.91951726213784,0.42872621928113297,35018.56827748298
t21,0.673423461151292,976.9430980522388,345.7519064366017,1899.2216794701067,5258.27216203992,1854.2275888837391,246.00468194166697,376.8543868445849,651.1974661495105,0.7600337504716838,1041.6576230951282,923.715100678417,1820.3196802890784,1969.344978401947,9341.014070263538,7366.273429359801,1.0613709926237251,0.8074895432011674,1.2127446758168707,1.0722548923130168,414.43415764310015,20.60660471651946,473.739818277311,0.8567110317096195,299.8664956357022,0.413984593081832,35286.302941119284
