Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Load_MW_z19,Load_MW_z20,Load_MW_z21,Load_MW_z22,Load_MW_z23,Load_MW_z24,Load_MW_z25,Load_MW_z26
,,,,,,,,57,18568,13292,20562,41794,54998,41987,20957,33731,50460,32345,19710,15781,24736,21596,65786,69111,17784,15119,9809,23408,47016,45846,51729,21353,77539,3446
,,,,,,,,58,20559,15457,23924,41191,51867,40666,20488,32492,49196,39150,19426,15712,23955,21040,63926,67088,18934,14811,9638,22577,45193,44330,50208,22562,74381,3305
,,,,,,,,59,21121,16930,26206,40032,49003,39457,20298,30762,47445,42233,19229,15593,23208,20817,63393,65916,18882,14399,9314,21689,43553,43146,48470,22502,69736,3099
,,,,,,,,60,20371,17045,26373,39925,48101,38855,20255,29212,46386,41059,19237,15649,22935,21099,63394,65706,18200,14219,9220,20822,42885,42368,47612,22032,66451,2953
,,,,,,,,61,19921,17046,26361,39574,47251,38596,20533,29003,46339,38659,19402,15791,22498,21418,63829,66181,18237,14015,9173,20738,42885,41978,47610,21500,64995,2888
,,,,,,,,62,19919,17557,27151,39129,46497,38252,20467,28791,46842,38885,19228,15682,22335,21489,63887,65672,18456,13873,9109,20711,42214,41522,47063,21756,64013,2845
,,,,,,,,63,20037,18047,27909,39625,46893,37917,20420,28080,46355,38754,19349,15771,22187,21890,64600,65652,18992,13620,9038,20372,43279,41201,47290,22002,62597,2782
,,,,,,,,64,20094,18419,28486,42870,48679,38400,20855,28152,46377,38918,19955,16197,22199,23356,68075,68194,18936,13546,9105,20315,47566,43138,50490,22163,62209,2764
,,,,,,,,65,20072,18575,28728,51171,53405,40633,22121,29919,49119,38570,21113,16992,22876,25674,75005,72896,19714,14180,9660,21278,55050,48044,57557,22293,64579,2870
,,,,,,,,66,20616,19003,29393,60383,60557,44557,24491,32950,54225,39328,22645,18067,24715,28317,84052,79768,21838,15450,10501,22921,60245,53675,65513,23263,68811,3058
,,,,,,,,67,22258,20050,31021,61175,65927,46528,24407,36137,59163,42692,23928,19114,26115,27175,80904,77924,24416,17029,11415,25066,56752,53212,64983,25162,75575,3358
,,,,,,,,68,24985,21638,33491,56763,66720,43557,22524,36585,54981,48605,23387,18723,24538,24775,75683,72565,27089,16342,10728,25222,51079,49323,59284,27933,77642,3450
,,,,,,,,69,26533,24222,37499,52343,67451,40862,21204,33966,48786,52960,23343,18651,23716,23946,73940,70566,24084,14739,9518,23068,48573,46225,54661,28610,71695,3186
,,,,,,,,70,24112,22399,34676,48445,41956,39111,19162,32949,46308,48094,18636,15280,23320,22196,63831,64681,20138,14099,8881,22272,44066,43762,49883,26003,69094,3070
,,,,,,,,71,21479,19508,30197,44553,37917,36452,17507,30845,40606,41100,17305,14262,21263,20540,58885,59996,18882,13200,8082,20926,41037,40919,46055,23682,65076,2892
,,,,,,,,72,20072,18272,28287,41869,37198,34466,16313,28465,36949,38208,16702,13730,19885,19410,56024,57023,16832,12226,7449,19265,39839,39119,43852,22135,59625,2650
,,,,,,,,73,18667,16792,25995,40295,37445,32902,15271,26803,35376,34823,15960,13051,18702,18645,54300,54900,15356,11521,7326,17982,39014,38213,42516,20252,55116,2449
,,,,,,,,74,17323,15133,23423,39965,36120,31962,14621,25610,33618,31192,15064,12315,17841,18280,53258,53692,14586,11178,7036,16981,39264,37548,42040,18672,52106,2315
,,,,,,,,75,16491,13890,21491,40165,35736,31504,14266,25051,32648,28614,14618,11960,17393,18386,53008,53142,13951,10994,6853,16499,39714,37485,42263,17721,50760,2256
,,,,,,,,76,15995,12952,20033,41506,35840,31346,14130,24815,32199,26977,14434,11781,17120,18675,53490,53483,13868,10873,6834,16261,41113,37980,43236,17207,50188,2230
,,,,,,,,77,15800,12394,19171,44670,36852,31563,14243,25056,32465,26404,14363,11698,17070,19174,54847,54421,14095,10976,6936,16339,43581,39178,45389,17001,50651,2251
,,,,,,,,78,15749,12067,18667,49758,38251,32912,15231,25725,33292,26010,14843,12035,17391,20752,59213,58656,14324,11254,7124,16590,48490,41868,49786,17108,52186,2319
,,,,,,,,79,16059,12112,18736,53265,47929,36895,18097,28080,37078,26636,17893,14138,18825,23727,70740,70126,14422,12085,7770,17978,55737,46243,58269,17818,57280,2545
,,,,,,,,80,16801,12400,19179,53419,66253,39636,20485,32420,43970,28109,21538,16935,21994,24875,77409,73638,15616,13309,8860,21090,54156,47453,58263,19368,66882,2972
,,,,,,,,81,18766,13621,21069,50386,68672,39261,20507,33037,47793,32202,22593,17905,23012,23989,75437,70531,17756,13896,9497,21942,48517,44961,53274,21705,69939,3108
,,,,,,,,82,20825,15744,24366,46376,64407,37510,19758,30855,46306,38784,21781,17463,22048,23021,72630,67340,19159,13491,9249,21087,44495,42185,49169,22988,66971,2976
,,,,,,,,83,21347,17183,26593,42631,59004,36399,19481,29143,44537,42198,21170,17065,21244,22084,70238,65610,18829,13055,8916,20437,41580,40006,45982,22730,63517,2822
,,,,,,,,84,20704,17241,26675,40689,56716,35538,19137,27464,43688,40839,20962,16980,20890,21820,68923,64004,18069,12908,8836,19671,40152,38782,44310,21948,61249,2722
,,,,,,,,85,20279,17156,26530,39276,55232,34943,19212,27181,43191,38353,20847,16915,20357,21615,68256,63654,17957,12762,8794,19700,39548,38059,43719,21455,60431,2685
