Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,Total
t22,8701.474724765802,7610.475940679414,9822.62560392724,16116.475756341157,7886.318895915679,14911.11102894833,5676.011853156212,9479.177304503968,17709.924611378126,12358.263097556279,2285.664713175259,1896.8788479689124,3198.0599180329104,999.3070451038226,17291.58452601378,21429.63960221911,6510.432618927849,2789.741800552586,3380.7762935754495,1536.9570182752552,9353.107276683491,8666.132460015753,14874.853198210549,5848.547220505963,20961.351166421446,1235.637450774564,232530.52997362893
t23,8484.688183135138,7610.47594426578,9822.625601444846,14607.582528632889,7157.93294529063,14032.734534288602,5272.9570503711275,8568.23595010368,17693.546601916616,12348.984233492318,2119.834575652392,1704.080113409484,2554.1982814977687,999.3066961901345,15464.42753857232,19438.410291347736,6510.431474095175,2789.741302507369,3380.7757664459864,1536.956232311763,8125.3905609069225,7252.028002244494,13109.867447845123,5848.547050230111,14466.855080597192,1235.6374185487693,212136.25140534434
t24,7828.3616237125925,7610.47594404207,9822.62559392927,12661.074212752115,5839.454591919372,12853.199149696975,4812.356253448837,7473.9183601145905,15008.716135759001,12310.30100057237,1997.8077775597485,1642.440417213717,1965.169324955531,999.3031381735353,13160.992066046852,16790.793188094118,6037.827536933245,1477.4744007432453,2627.703016149538,1536.9554460702045,7899.7085273657785,6209.837219030156,10398.223092447135,5848.546919484156,14128.206310698462,0.009270713151612249,188941.48051762578
t25,7754.532173677485,7610.475939568124,9822.625587847922,9138.558647116126,3544.710774131041,12362.226315907772,3906.057144043258,6433.773261372187,12938.274161999918,12157.206750111452,1997.8067328865043,1642.4386883401392,1290.8610607680428,0.006972056059789012,10049.500266964315,15075.524532315942,4635.257548455494,1053.0737910313471,1655.7305190883649,989.5492417946651,4826.992013818698,6155.663270612489,9154.242181944966,5848.545979577023,11641.615142353256,0.0005320244994162992,161685.2492298071
t26,7754.529934879888,7610.475825996576,9822.6226091052,7939.350734288999,3160.5977888834236,10559.526685501043,3556.051372344578,5528.79249576278,10317.04832306074,10106.08471224847,1997.8067286306696,1642.4386523225942,1290.8610316671306,0.0066671747972686405,9443.536243859993,14219.33183571768,3393.7665783982816,1053.0735719079325,1655.729906187345,989.5480059079779,4612.189048532284,5053.334904183207,8168.825931379516,5059.064504938885,5435.0818136442795,0.0005332430851451776,140369.67643976735
t27,7745.657861061139,5670.084059991721,6631.478850321756,7673.880974438315,2935.609371002722,10286.936554003818,3525.367242587318,5378.622206531326,9195.665891810238,10106.079744147573,1997.8067268943928,1642.4386303168994,1290.8610206156018,0.006557941114308162,9019.82378894029,13782.38742761457,1566.2429077430684,1053.0735676046945,1655.7299034843898,989.5478905701802,4511.830161520561,4769.683226360905,7946.351721022058,3703.414853108349,4816.463985145469,0.000523648142643344,127895.04564842662
t28,6610.6900367463295,3188.334023492865,6631.471811860433,8093.936168249859,2902.339458163278,10326.864139663016,3600.595379626977,5156.907770859561,8990.60584550414,10106.076927622686,1997.8067266031255,1642.4386331988549,1290.8610193680174,0.006545371086794381,9021.014982527146,13810.990844770013,1566.2427643153233,1053.0735581714312,1655.7299009673159,989.5415202140133,5032.985985661101,4817.25338412353,8082.5785334503735,1507.9596924881234,4816.448696210923,0.0003953314436794369,122892.75474456098
t29,6253.414508226542,3188.33357150747,6631.471805142704,9219.072350557706,2796.0331797548242,10556.661115754889,3837.4962840516923,5266.5827831763745,9642.813778913787,10106.076573444276,1997.8067278430694,1642.4386474897144,1290.8610211706346,0.006534720523311989,9212.28319586492,14006.732894490853,1566.2427617825472,1053.0735562037896,1655.7299044437068,989.5434738610053,5920.976772393471,5164.305046204269,8534.462587696993,1273.644667967766,4816.449999424115,0.00040752458542969396,126622.51414961224
t30,5768.16302805459,3188.3334534499013,6631.471807207177,11272.551656756053,3081.96992136286,11321.71146232185,4386.457531225297,5505.508772639,10919.85823065697,10106.07642880673,1997.8067350253991,1642.438689685799,1290.8610371046857,0.006761570220243564,10204.952655388894,15512.13282961798,1566.2427634180685,1053.073567227029,1655.7299160563396,989.5479857076301,7057.297362261829,6012.747566423122,9154.244476607044,1273.6434168159367,4816.4643794321555,0.0005257363467233281,136409.2929605589
t31,6029.5907503575845,3188.333462315119,6631.471810021089,13452.453479513255,5054.736068646302,12853.191578415226,5290.809245579118,6433.773794667969,13482.110279094273,10106.076548492983,1997.808224537908,1642.4407321858444,1290.8613262046033,999.3031034011707,14176.743659018111,16616.373125101163,1566.242770732185,1053.0738265297566,1655.7306219818229,989.5495286241228,8049.8548290409,6209.836399070821,9750.290109168707,1322.8826520851023,7477.433315921094,0.0005335549649580147,157320.97177426118
t32,7531.741587401105,3188.333556391046,6631.47181447494,11878.79365953146,6977.675906678277,12853.198606907506,5803.423350264474,6433.777971845641,15709.121090584376,10106.079354283333,2229.7062293149315,1857.1625438860392,1854.8869446290419,999.3030503773125,16459.753022759367,16616.37174437437,1566.2429085896385,1053.0754087770235,1655.7374018910004,1536.9541023972101,7460.1587531553505,6209.8376391887705,9594.954879623285,1806.501486955278,9003.80010736896,0.0006702218936332782,167018.06379187162
t33,7754.526928784487,3408.467043470054,6631.471909314829,6953.925930541882,6539.586753703271,12853.19674584571,4885.076712319793,6433.773249567101,15785.929672030756,10106.079760688708,2302.4385132917246,1971.4434661028654,1290.861940150894,999.2859445057367,15005.322443939654,16616.326494817637,1849.2497526420989,1053.0740967330235,1655.7377699550484,1536.9494422541354,3696.722908596988,5186.485902010594,7915.906507134071,3722.195820115508,9331.283592232858,0.0005903096793543567,155485.3198910591
t34,7754.527156355925,4949.909318908235,6631.471936787797,5165.777984880879,6062.4470084885015,11008.370827793262,4756.004931628413,6433.773253551104,14189.6218159507,10106.079761603447,2363.861963367466,2074.6546249562703,1145.2115390355411,0.0063581777367498,14812.775026924157,16616.32553028282,2722.0435109439513,1053.0735698671542,1655.729990508625,989.548178459345,2735.045513676721,3139.852352299733,4978.436726143154,2161.0150927799923,7946.010634813549,0.0005322014597100849,141451.57514038595
