resource_name,zone,tech_type,model,planning_year,case,unit,start_value,end_value,start_MWh,end_MWh
CASO_biomass_1,CASO,Other,SWITCH,2030,base_short_tx_0,MW,49.407556,50.345303,0.0,0.0
CASO_biomass_2,CASO,Other,SWITCH,2030,base_short_tx_0,MW,6.915886,6.915886,0.0,0.0
CASO_conventional_hydroelectric_1,CASO,Hydro,SWITCH,2030,base_short_tx_0,MW,967.7,971.0,0.0,0.0
CASO_distributed_generation_1,CASO,Distributed Solar,SWITCH,2030,base_short_tx_0,MW,8292.0,8292.0,0.0,0.0
CASO_hydroelectric_pumped_storage_1,CASO,Hydro,SWITCH,2030,base_short_tx_0,MW,1665.0,1665.0,25807.5,25807.5
CASO_natural_gas_fired_combined_cycle_1,CASO,Natural Gas,SWITCH,2030,base_short_tx_0,MW,2102.9,2102.9,0.0,0.0
CASO_natural_gas_fired_combined_cycle_2,CASO,Natural Gas,SWITCH,2030,base_short_tx_0,MW,6090.1,6090.1,0.0,0.0
CASO_natural_gas_fired_combustion_turbine_1,CASO,Natural Gas,SWITCH,2030,base_short_tx_0,MW,1865.3,1865.3,0.0,0.0
CASO_natural_gas_fired_combustion_turbine_2,CASO,Natural Gas,SWITCH,2030,base_short_tx_0,MW,4433.6,4433.6,0.0,0.0
CASO_natural_gas_internal_combustion_engine_1,CASO,Natural Gas,SWITCH,2030,base_short_tx_0,MW,48.7,50.2,0.0,0.0
CASO_onshore_wind_turbine_1,CASO,Wind,SWITCH,2030,base_short_tx_0,MW,3805.6,3901.1,0.0,0.0
CASO_petroleum_liquids_1,CASO,Other,SWITCH,2030,base_short_tx_0,MW,14.1,14.1,0.0,0.0
CASO_small_hydroelectric_1,CASO,Hydro,SWITCH,2030,base_short_tx_0,MW,72.8856,72.8856,0.0,0.0
CASO_solar_photovoltaic_1,CASO,Solar,SWITCH,2030,base_short_tx_0,MW,8851.8,11703.2,0.0,0.0
FRCC_batteries_1,FRCC,Battery,SWITCH,2030,base_short_tx_0,MW,535.4,555.2,1089.8,1129.4
FRCC_biomass_1,FRCC,Other,SWITCH,2030,base_short_tx_0,MW,14.429442,14.429442,0.0,0.0
FRCC_biomass_2,FRCC,Other,SWITCH,2030,base_short_tx_0,MW,29.103085,29.103085,0.0,0.0
FRCC_conventional_hydroelectric_1,FRCC,Hydro,SWITCH,2030,base_short_tx_0,MW,43.5,43.5,0.0,0.0
FRCC_conventional_steam_coal_1,FRCC,Coal,SWITCH,2030,base_short_tx_0,MW,3109.0,3109.0,0.0,0.0
FRCC_conventional_steam_coal_2,FRCC,Coal,SWITCH,2030,base_short_tx_0,MW,674.0,674.0,0.0,0.0
FRCC_distributed_generation_1,FRCC,Distributed Solar,SWITCH,2030,base_short_tx_0,MW,5592.0,5592.0,0.0,0.0
FRCC_natural_gas_fired_combined_cycle_1,FRCC,Natural Gas,SWITCH,2030,base_short_tx_0,MW,2675.7,2675.7,0.0,0.0
FRCC_natural_gas_fired_combined_cycle_2,FRCC,Natural Gas,SWITCH,2030,base_short_tx_0,MW,28222.3,29352.0,0.0,0.0
FRCC_natural_gas_fired_combustion_turbine_1,FRCC,Natural Gas,SWITCH,2030,base_short_tx_0,MW,8422.4,8422.4,0.0,0.0
FRCC_natural_gas_fired_combustion_turbine_2,FRCC,Natural Gas,SWITCH,2030,base_short_tx_0,MW,285.9,285.9,0.0,0.0
FRCC_natural_gas_internal_combustion_engine_1,FRCC,Natural Gas,SWITCH,2030,base_short_tx_0,MW,138.8,141.4,0.0,0.0
FRCC_nuclear_1,FRCC,Nuclear,SWITCH,2030,base_short_tx_0,MW,3737.0,3737.0,0.0,0.0
FRCC_petroleum_liquids_1,FRCC,Other,SWITCH,2030,base_short_tx_0,MW,450.2,450.2,0.0,0.0
FRCC_solar_photovoltaic_1,FRCC,Solar,SWITCH,2030,base_short_tx_0,MW,4013.9,5214.9,0.0,0.0
ISNE_batteries_1,ISNE,Battery,SWITCH,2030,base_short_tx_0,MW,244.2,287.3,511.4,598.1
ISNE_biomass_1,ISNE,Other,SWITCH,2030,base_short_tx_0,MW,8.88782,8.88782,0.0,0.0
ISNE_biomass_2,ISNE,Other,SWITCH,2030,base_short_tx_0,MW,20.18351,20.18351,0.0,0.0
ISNE_conventional_hydroelectric_1,ISNE,Hydro,SWITCH,2030,base_short_tx_0,MW,588.2,592.8,0.0,0.0
