model,zone,resource_name,tech_type,planning_year,case,unit,value
USENSYS,BASN,BASN_naturalgas_ccavgcf_moderate_0,Natural Gas,2050,26z-debug-noCO2Cap,MWh,17581222
USENSYS,BASN,BASN_onshore_wind_turbine_1,Wind,2030,26z-debug-noCO2Cap,MWh,4602536
USENSYS,BASN,BASN_onshore_wind_turbine_1,Wind,2040,26z-debug-noCO2Cap,MWh,3296464
USENSYS,BASN,BASN_onshore_wind_turbine_1,Wind,2050,26z-debug-noCO2Cap,MWh,1178896
USENSYS,BASN,BASN_petroleum_liquids_1,Other,2040,26z-debug-noCO2Cap,MWh,112
USENSYS,BASN,BASN_petroleum_liquids_1,Other,2050,26z-debug-noCO2Cap,MWh,252
USENSYS,BASN,BASN_small_hydroelectric_1,Hydro,2030,26z-debug-noCO2Cap,MWh,1550520
USENSYS,BASN,BASN_small_hydroelectric_1,Hydro,2040,26z-debug-noCO2Cap,MWh,1445400
USENSYS,BASN,BASN_small_hydroelectric_1,Hydro,2050,26z-debug-noCO2Cap,MWh,1252680
USENSYS,BASN,BASN_solar_photovoltaic_1,Solar,2030,26z-debug-noCO2Cap,MWh,17113434
USENSYS,BASN,BASN_solar_photovoltaic_1,Solar,2040,26z-debug-noCO2Cap,MWh,16957245
USENSYS,BASN,BASN_solar_photovoltaic_1,Solar,2050,26z-debug-noCO2Cap,MWh,9148243
USENSYS,BASN,BASN_utilitypv_class1_moderate_0,Solar,2040,26z-debug-noCO2Cap,MWh,15825463
USENSYS,BASN,BASN_utilitypv_class1_moderate_0,Solar,2050,26z-debug-noCO2Cap,MWh,48160566
USENSYS,CANO,CANO_batteries_1,Battery,2030,26z-debug-noCO2Cap,MWh,31087808
USENSYS,CANO,CANO_batteries_1,Battery,2040,26z-debug-noCO2Cap,MWh,28207060
USENSYS,CANO,CANO_batteries_1,Battery,2050,26z-debug-noCO2Cap,MWh,27272416
USENSYS,CANO,CANO_battery_moderate_0,Battery,2050,26z-debug-noCO2Cap,MWh,65682
USENSYS,CANO,CANO_biomass_1,Biomass,2030,26z-debug-noCO2Cap,MWh,510496
USENSYS,CANO,CANO_biomass_1,Biomass,2040,26z-debug-noCO2Cap,MWh,326946
USENSYS,CANO,CANO_biomass_1,Biomass,2050,26z-debug-noCO2Cap,MWh,232179
USENSYS,CANO,CANO_biomass_2,Biomass,2030,26z-debug-noCO2Cap,MWh,1159707
USENSYS,CANO,CANO_biomass_2,Biomass,2040,26z-debug-noCO2Cap,MWh,171994
USENSYS,CANO,CANO_biomass_2,Biomass,2050,26z-debug-noCO2Cap,MWh,153571
USENSYS,CANO,CANO_conventional_hydroelectric_1,Hydro,2030,26z-debug-noCO2Cap,MWh,61092240
