hour,zone,planning_year,model,case,value
382,NWPP,2040,USENSYS,26z-debug-noCO2Cap-foresight,3.2
8732,NWPP,2050,USENSYS,26z-debug-noCO2Cap-foresight,526.5
8733,NWPP,2050,USENSYS,26z-debug-noCO2Cap-foresight,4901.3
8734,NWPP,2050,USENSYS,26z-debug-noCO2Cap-foresight,5898.8
8735,NWPP,2050,USENSYS,26z-debug-noCO2Cap-foresight,6292.1
8736,NWPP,2050,USENSYS,26z-debug-noCO2Cap-foresight,4797.9
8737,NWPP,2050,USENSYS,26z-debug-noCO2Cap-foresight,556.6
69,NYCW,2030,USENSYS,26z-debug-noCO2Cap-foresight,49.4
90,NYCW,2030,USENSYS,26z-debug-noCO2Cap-foresight,180.1
91,NYCW,2030,USENSYS,26z-debug-noCO2Cap-foresight,622.7
92,NYCW,2030,USENSYS,26z-debug-noCO2Cap-foresight,630.7
93,NYCW,2030,USENSYS,26z-debug-noCO2Cap-foresight,755.6
4769,NYCW,2030,USENSYS,26z-debug-noCO2Cap-foresight,98.5
4770,NYCW,2030,USENSYS,26z-debug-noCO2Cap-foresight,214.4
66,NYCW,2040,USENSYS,26z-debug-noCO2Cap-foresight,75.5
67,NYCW,2040,USENSYS,26z-debug-noCO2Cap-foresight,177.2
68,NYCW,2040,USENSYS,26z-debug-noCO2Cap-foresight,170.1
69,NYCW,2040,USENSYS,26z-debug-noCO2Cap-foresight,158
90,NYCW,2040,USENSYS,26z-debug-noCO2Cap-foresight,1211.6
91,NYCW,2040,USENSYS,26z-debug-noCO2Cap-foresight,2022.8
92,NYCW,2040,USENSYS,26z-debug-noCO2Cap-foresight,1371
93,NYCW,2040,USENSYS,26z-debug-noCO2Cap-foresight,542.8
88,NYCW,2050,USENSYS,26z-debug-noCO2Cap-foresight,121.6
89,NYCW,2050,USENSYS,26z-debug-noCO2Cap-foresight,1510.5
90,NYCW,2050,USENSYS,26z-debug-noCO2Cap-foresight,3251
91,NYCW,2050,USENSYS,26z-debug-noCO2Cap-foresight,3286.1
92,NYCW,2050,USENSYS,26z-debug-noCO2Cap-foresight,1680.9
93,NYCW,2050,USENSYS,26z-debug-noCO2Cap-foresight,755.1
8275,PJMC,2040,USENSYS,26z-debug-noCO2Cap-foresight,414.7
8276,PJMC,2040,USENSYS,26z-debug-noCO2Cap-foresight,394.5
8275,SPPC,2050,USENSYS,26z-debug-noCO2Cap-foresight,935.6
8276,SPPC,2050,USENSYS,26z-debug-noCO2Cap-foresight,1216.2
8277,SPPC,2050,USENSYS,26z-debug-noCO2Cap-foresight,138.3
8275,TRE,2040,USENSYS,26z-debug-noCO2Cap-foresight,227.4
8276,TRE,2040,USENSYS,26z-debug-noCO2Cap-foresight,7716.9
8277,TRE,2040,USENSYS,26z-debug-noCO2Cap-foresight,5333.9
8278,TRE,2040,USENSYS,26z-debug-noCO2Cap-foresight,125.4
8279,TRE,2040,USENSYS,26z-debug-noCO2Cap-foresight,92.8
8275,TRE,2050,USENSYS,26z-debug-noCO2Cap-foresight,7116.7
8276,TRE,2050,USENSYS,26z-debug-noCO2Cap-foresight,28987
8277,TRE,2050,USENSYS,26z-debug-noCO2Cap-foresight,8415.4
8278,TRE,2050,USENSYS,26z-debug-noCO2Cap-foresight,2688.9
8279,TRE,2050,USENSYS,26z-debug-noCO2Cap-foresight,484.3
