Segment,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Total
Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,0
t11,6.267103357423985e-5,6.429797376591631e-5,6.355478141263613e-5,6.185542126081766e-5,6.356090909354841e-5,6.160268466477114e-5,6.586891889810093e-5,6.174720669463057e-5,5.982748866569033e-5,6.148607350138978e-5,6.539358293465281e-5,6.455897999717708e-5,6.234236921261719e-5,6.183129350071096e-5,5.752733303116013e-5,5.9347283832416296e-5,6.0607015805493244e-5,6.314422325000475e-5,6.422419170529258e-5,6.15095455395111e-5,5.946171289364674e-5,6.10831587089982e-5,6.033187526882553e-5,6.325445538269832e-5,6.077886537381585e-5,6.34573277878721e-5,0.001615325705756634
t12,6.236708199635564e-5,6.354218385449854e-5,6.287193884501756e-5,6.082523856322977e-5,6.33169240303111e-5,6.112098441191303e-5,6.498301120393799e-5,6.137098182741713e-5,5.990273625674057e-5,6.049712958606728e-5,6.515153978863904e-5,6.447075972949353e-5,6.210297797355961e-5,6.10795208985246e-5,5.6335338139768805e-5,5.870467618721021e-5,6.111855688320656e-5,6.356237149516418e-5,6.507019491254824e-5,6.108731360706254e-5,5.879282313565001e-5,6.029022991804589e-5,5.960598058720548e-5,6.292124159055177e-5,5.949757964775528e-5,6.30065213246518e-5,0.001603595836394526
t13,6.313155308745125e-5,6.40141479594297e-5,6.297924667891137e-5,6.198016594686734e-5,6.335470350861127e-5,6.16182534301804e-5,6.509878944469978e-5,6.193708696896835e-5,6.083580253985444e-5,6.0749987432591446e-5,6.542519634361853e-5,6.478057707047501e-5,6.277575962271138e-5,6.188479664192592e-5,5.8036976409593564e-5,5.971991436540099e-5,6.155558963500756e-5,6.429229639962865e-5,6.533310478840497e-5,6.196455078574802e-5,5.916001150132415e-5,6.110486310718821e-5,6.0446835790388027e-5,6.342603544788365e-5,6.0919198960690124e-5,6.39667541329844e-5,0.0016204921980005386
t14,6.238758837072211e-5,6.375363110583382e-5,6.244378689343432e-5,6.160939714218535e-5,6.283836376615748e-5,6.148970273421394e-5,6.532954023486254e-5,6.137528198202337e-5,5.980916860427577e-5,5.9913961831974086e-5,6.458496395046604e-5,6.415896932562518e-5,6.21433517825542e-5,6.200049871697923e-5,5.770031637935164e-5,5.946963210056067e-5,6.21203376069402e-5,6.44011317715027e-5,6.565875115707143e-5,6.146423225399286e-5,5.935007786267202e-5,6.101535146104178e-5,5.994349165591794e-5,6.219425741036525e-5,5.967892761328996e-5,6.403582821051115e-5,0.0016108705419245251
t15,6.168812539551961e-5,6.277325566370031e-5,6.154845011607838e-5,6.076181244356697e-5,6.270362401006293e-5,6.097929292928885e-5,6.450004139553906e-5,6.0846901741142605e-5,5.97028793663437e-5,5.8881781290107765e-5,6.448855943044015e-5,6.39696074703073e-5,6.180127470449655e-5,6.126137299327366e-5,5.685066457861028e-5,5.889721285562039e-5,6.194765739899953e-5,6.381130090844374e-5,6.537440545810695e-5,6.07334282950521e-5,5.87233608795346e-5,6.033227115070449e-5,5.9426354637969574e-5,6.131477455678324e-5,5.811976544604747e-5,6.32397374681265e-5,0.0015946779125838666
t16,6.278600878922098e-5,6.332815831057082e-5,6.19942028137952e-5,6.242554056274244e-5,6.292134153147575e-5,6.152143252792328e-5,6.481169039734712e-5,6.153683718456297e-5,6.074472096148008e-5,5.9736918518714645e-5,6.496846351511115e-5,6.4495659833212e-5,6.25392617468956e-5,6.197364751506075e-5,5.8250367920414905e-5,5.9847661853979925e-5,6.231171746429027e-5,6.43419700759863e-5,6.579002774067572e-5,6.161404816129705e-5,5.931283960378967e-5,6.116931628458869e-5,6.059070971493962e-5,6.245350007538992e-5,5.9798361377611936e-5,6.389398227670204e-5,0.0016151583867577788
t17,6.176656866416035e-5,6.313131542909581e-5,6.158829185197681e-5,6.22889702105233e-5,6.250691857227924e-5,6.144704806848758e-5,6.526578098099253e-5,6.109644622214734e-5,5.969425362705466e-5,5.940369642346387e-5,6.427769638590725e-5,6.408234698504129e-5,6.200214106339158e-5,6.209159703498968e-5,5.791649555175152e-5,5.968492847470917e-5,6.19362737208673e-5,6.411919138293049e-5,6.545397953489467e-5,6.110636729959615e-5,5.942345399741428e-5,6.108981692825814e-5,6.025190482396447e-5,6.116869713656696e-5,5.86733316580348e-5,6.386971718823208e-5,0.0016053372292167312
t18,6.118247559616194e-5,6.232777315283863e-5,6.087593676100169e-5,6.16155980002579e-5,6.241304837092592e-5,6.10797105070126e-5,6.46141724320674e-5,6.08906364406776e-5,5.9665442685655384e-5,5.872256034072031e-5,6.43070316525196e-5,6.393738223122307e-5,6.18356980696927e-5,6.119330382498582e-5,5.690086399487521e-5,5.90993190663232e-5,6.168175461651562e-5,6.366460851849946e-5,6.523336687720477e-5,6.054288019312209e-5,5.8936920509122004e-5,6.050364484965214e-5,5.992541437173798e-5,6.020460414802097e-5,5.7522403179450664e-5,6.308514539300664e-5,0.0015919616957832715
t19,6.270715575029524e-5,6.308600722642208e-5,6.162025411669303e-5,6.228090182117319e-5,6.405624689169089e-5,6.179998564333572e-5,6.507259924681992e-5,6.197243394317009e-5,6.087374083211431e-5,5.9621080405237316e-5,6.490862698239922e-5,6.461276709480628e-5,6.279702372162372e-5,6.15347603049058e-5,5.797964227152427e-5,5.998788910294895e-5,6.234928897075566e-5,6.448621869172427e-5,6.589254886439767e-5,6.179181678710376e-5,5.9352463766494436e-5,6.140754061060459e-5,6.108386047200078e-5,6.202123115175234e-5,6.0285522021509505e-5,6.408252172223073e-5,0.0016176641284137339
t20,6.20045158759603e-5,6.292185093343617e-5,6.144733505131973e-5,6.277241012667588e-5,6.443159958825911e-5,6.2200718525614e-5,6.604024299588438e-5,6.193028448811027e-5,6.001780728474302e-5,5.9446649505530434e-5,6.47776357222867e-5,6.435739502083502e-5,6.28504852855133e-5,6.203669169152796e-5,5.7653507137326035e-5,6.0282078702703246e-5,6.220386469501153e-5,6.464086716278166e-5,6.584789065141141e-5,6.173597530841144e-5,6.0206458518370956e-5,6.156024543517742e-5,6.125614715740995e-5,6.133157174022366e-5,6.0090426516434864e-5,6.43701134891527e-5,0.0016184147686101112
