hour,zone,planning_year,model,case,value
7636,SPPC,2040,USENSYS,26z-debug-highCCScost,0.4
7637,SPPC,2040,USENSYS,26z-debug-highCCScost,0.4
7638,SPPC,2040,USENSYS,26z-debug-highCCScost,0.4
7639,SPPC,2040,USENSYS,26z-debug-highCCScost,0.4
7640,SPPC,2040,USENSYS,26z-debug-highCCScost,0.4
7641,SPPC,2040,USENSYS,26z-debug-highCCScost,0.3
7629,SPPN,2040,USENSYS,26z-debug-highCCScost,0.2
7630,SPPN,2040,USENSYS,26z-debug-highCCScost,0.2
7631,SPPN,2040,USENSYS,26z-debug-highCCScost,0.2
7632,SPPN,2040,USENSYS,26z-debug-highCCScost,0.2
7633,SPPN,2040,USENSYS,26z-debug-highCCScost,0.2
7634,SPPN,2040,USENSYS,26z-debug-highCCScost,0.2
7635,SPPN,2040,USENSYS,26z-debug-highCCScost,0.2
7636,SPPN,2040,USENSYS,26z-debug-highCCScost,0.2
7637,SPPN,2040,USENSYS,26z-debug-highCCScost,0.2
7638,SPPN,2040,USENSYS,26z-debug-highCCScost,0.2
7639,SPPN,2040,USENSYS,26z-debug-highCCScost,0.2
7640,SPPN,2040,USENSYS,26z-debug-highCCScost,0.2
7641,SPPN,2040,USENSYS,26z-debug-highCCScost,0.2
7629,SPPS,2040,USENSYS,26z-debug-highCCScost,0.3
7630,SPPS,2040,USENSYS,26z-debug-highCCScost,0.3
7631,SPPS,2040,USENSYS,26z-debug-highCCScost,0.3
7632,SPPS,2040,USENSYS,26z-debug-highCCScost,0.3
7633,SPPS,2040,USENSYS,26z-debug-highCCScost,0.3
7634,SPPS,2040,USENSYS,26z-debug-highCCScost,0.2
7635,SPPS,2040,USENSYS,26z-debug-highCCScost,0.2
7636,SPPS,2040,USENSYS,26z-debug-highCCScost,0.2
7637,SPPS,2040,USENSYS,26z-debug-highCCScost,0.2
7638,SPPS,2040,USENSYS,26z-debug-highCCScost,0.2
7639,SPPS,2040,USENSYS,26z-debug-highCCScost,0.2
7640,SPPS,2040,USENSYS,26z-debug-highCCScost,0.2
7641,SPPS,2040,USENSYS,26z-debug-highCCScost,0.2
7629,SRSG,2040,USENSYS,26z-debug-highCCScost,0.1
7630,SRSG,2040,USENSYS,26z-debug-highCCScost,0.1
7631,SRSG,2040,USENSYS,26z-debug-highCCScost,0.1
7632,SRSG,2040,USENSYS,26z-debug-highCCScost,0.1
7633,SRSG,2040,USENSYS,26z-debug-highCCScost,0.1
7634,SRSG,2040,USENSYS,26z-debug-highCCScost,0.1
7635,SRSG,2040,USENSYS,26z-debug-highCCScost,0.1
7636,SRSG,2040,USENSYS,26z-debug-highCCScost,0.1
7637,SRSG,2040,USENSYS,26z-debug-highCCScost,0.1
7638,SRSG,2040,USENSYS,26z-debug-highCCScost,0.1
7639,SRSG,2040,USENSYS,26z-debug-highCCScost,0.1
7640,SRSG,2040,USENSYS,26z-debug-highCCScost,0.1
7641,SRSG,2040,USENSYS,26z-debug-highCCScost,0.1
7629,TRE,2040,USENSYS,26z-debug-highCCScost,0.6
7630,TRE,2040,USENSYS,26z-debug-highCCScost,0.6
7631,TRE,2040,USENSYS,26z-debug-highCCScost,0.6
7632,TRE,2040,USENSYS,26z-debug-highCCScost,0.6
7633,TRE,2040,USENSYS,26z-debug-highCCScost,0.6
7634,TRE,2040,USENSYS,26z-debug-highCCScost,0.6
7635,TRE,2040,USENSYS,26z-debug-highCCScost,0.6
7636,TRE,2040,USENSYS,26z-debug-highCCScost,0.6
7637,TRE,2040,USENSYS,26z-debug-highCCScost,0.6
7638,TRE,2040,USENSYS,26z-debug-highCCScost,0.6
7639,TRE,2040,USENSYS,26z-debug-highCCScost,0.6
7640,TRE,2040,USENSYS,26z-debug-highCCScost,0.6
7641,TRE,2040,USENSYS,26z-debug-highCCScost,0.6
7629,TRE_WEST,2040,USENSYS,26z-debug-highCCScost,0.1
7630,TRE_WEST,2040,USENSYS,26z-debug-highCCScost,0.1
7631,TRE_WEST,2040,USENSYS,26z-debug-highCCScost,0.1
7632,TRE_WEST,2040,USENSYS,26z-debug-highCCScost,0.1
7633,TRE_WEST,2040,USENSYS,26z-debug-highCCScost,0.1
7634,TRE_WEST,2040,USENSYS,26z-debug-highCCScost,0.1
7635,TRE_WEST,2040,USENSYS,26z-debug-highCCScost,0.1
7636,TRE_WEST,2040,USENSYS,26z-debug-highCCScost,0.1
7637,TRE_WEST,2040,USENSYS,26z-debug-highCCScost,0.1
7638,TRE_WEST,2040,USENSYS,26z-debug-highCCScost,0.1
7639,TRE_WEST,2040,USENSYS,26z-debug-highCCScost,0.1
7640,TRE_WEST,2040,USENSYS,26z-debug-highCCScost,0.1
7641,TRE_WEST,2040,USENSYS,26z-debug-highCCScost,0.1
88,ISNE,2050,USENSYS,26z-debug-highCCScost,1
89,ISNE,2050,USENSYS,26z-debug-highCCScost,740.2
90,ISNE,2050,USENSYS,26z-debug-highCCScost,1428.6
91,ISNE,2050,USENSYS,26z-debug-highCCScost,2807.6
92,ISNE,2050,USENSYS,26z-debug-highCCScost,6578.5
93,ISNE,2050,USENSYS,26z-debug-highCCScost,17132.9
94,ISNE,2050,USENSYS,26z-debug-highCCScost,915.9
8276,MISW,2050,USENSYS,26z-debug-highCCScost,3
89,NYCW,2050,USENSYS,26z-debug-highCCScost,0.4
90,NYCW,2050,USENSYS,26z-debug-highCCScost,0.5
91,NYCW,2050,USENSYS,26z-debug-highCCScost,0.5
92,NYCW,2050,USENSYS,26z-debug-highCCScost,0.4
93,NYCW,2050,USENSYS,26z-debug-highCCScost,0.4
