GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost,gen_storage_energy_fixed_om
Eastern_batteries_1,2019,0,0,0,0
Eastern_batteries_1,2021,0,0,0,0
Eastern_batteries_1,2022,0,0,0,0
Eastern_batteries_1,2023,0,0,0,0
Eastern_batteries_1,2024,0,0,0,0
Eastern_battery_moderate_0,2050,214840.2765,5336,127911.7717,3177
Eastern_conventional_hydroelectric_1,1891,0,0,.,0
Eastern_conventional_hydroelectric_1,1893,0,0,.,0
Eastern_conventional_hydroelectric_1,1896,0,0,.,0
Eastern_conventional_hydroelectric_1,1900,0,0,.,0
Eastern_conventional_hydroelectric_1,1901,0,0,.,0
Eastern_conventional_hydroelectric_1,1902,0,0,.,0
Eastern_conventional_hydroelectric_1,1903,0,0,.,0
Eastern_conventional_hydroelectric_1,1904,0,0,.,0
Eastern_conventional_hydroelectric_1,1905,0,0,.,0
Eastern_conventional_hydroelectric_1,1906,0,0,.,0
Eastern_conventional_hydroelectric_1,1907,0,0,.,0
Eastern_conventional_hydroelectric_1,1908,0,0,.,0
Eastern_conventional_hydroelectric_1,1909,0,0,.,0
Eastern_conventional_hydroelectric_1,1910,0,0,.,0
Eastern_conventional_hydroelectric_1,1911,0,0,.,0
Eastern_conventional_hydroelectric_1,1912,0,0,.,0
Eastern_conventional_hydroelectric_1,1913,0,0,.,0
Eastern_conventional_hydroelectric_1,1914,0,0,.,0
Eastern_conventional_hydroelectric_1,1915,0,0,.,0
Eastern_conventional_hydroelectric_1,1916,0,0,.,0
Eastern_conventional_hydroelectric_1,1917,0,0,.,0
Eastern_conventional_hydroelectric_1,1918,0,0,.,0
Eastern_conventional_hydroelectric_1,1919,0,0,.,0
Eastern_conventional_hydroelectric_1,1920,0,0,.,0
Eastern_conventional_hydroelectric_1,1921,0,0,.,0
Eastern_conventional_hydroelectric_1,1922,0,0,.,0
Eastern_conventional_hydroelectric_1,1923,0,0,.,0
Eastern_conventional_hydroelectric_1,1924,0,0,.,0
Eastern_conventional_hydroelectric_1,1925,0,0,.,0
Eastern_conventional_hydroelectric_1,1926,0,0,.,0
Eastern_conventional_hydroelectric_1,1927,0,0,.,0
Eastern_conventional_hydroelectric_1,1928,0,0,.,0
Eastern_conventional_hydroelectric_1,1929,0,0,.,0
Eastern_conventional_hydroelectric_1,1930,0,0,.,0
