GENERATION_PROJECT,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_is_baseload,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_dbid,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_min_build_capacity,gen_is_cogen,gen_storage_efficiency,gen_store_to_release_ratio,gen_can_provide_cap_reserves,gen_self_discharge_rate,gen_discharge_efficiency,gen_land_use_rate,gen_ccs_capture_efficiency,gen_ccs_energy_load,gen_storage_energy_to_power_ratio,gen_type,gen_capacity_limit_mw
FRCC_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,Naturalgas,FRCC,50,FALSE,FALSE,11.318,1.056,0,FRCC_natural_gas_steam_turbine_1,0,0,0,FALSE,.,.,1,.,.,.,.,.,.,Naturalgas,335
FRCC_nuclear_1,Nuclear,Uranium,FRCC,80,FALSE,FALSE,10.446,2.841,0,FRCC_nuclear_1,0,0,0,FALSE,.,.,1,.,.,.,.,.,.,Nuclear,3737
FRCC_petroleum_liquids_1,Petroleum Liquids,Distillate,FRCC,40,FALSE,FALSE,16.609,8.544,0,FRCC_petroleum_liquids_1,0,0,0,FALSE,.,.,1,.,.,.,.,.,.,Petroleum,2.6
FRCC_solar_photovoltaic_1,Solar Photovoltaic,Solar,FRCC,30,TRUE,FALSE,.,0,0,FRCC_solar_photovoltaic_1,0,0,0,FALSE,.,.,1,.,.,.,.,.,.,Solar,5877.7
ISNE_biomass_1,Biomass,Waste_biomass,ISNE,50,FALSE,FALSE,12.288,5.279,0,ISNE_biomass_1,0,0,0,FALSE,.,.,1,.,.,.,.,.,.,Biomass,155.2
ISNE_conventional_hydroelectric_1,Conventional Hydroelectric,Water,ISNE,100,FALSE,FALSE,.,0,0,ISNE_conventional_hydroelectric_1,0,0,0,FALSE,.,.,1,.,.,.,.,.,.,Hydro,464.8
ISNE_hydroelectric_pumped_storage_1,Hydroelectric Pumped Storage,Electricity,ISNE,100,FALSE,FALSE,.,0,0,ISNE_hydroelectric_pumped_storage_1,0,0,0,FALSE,0.749956,1,1,.,.,.,.,.,.,Hydro,1768
ISNE_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,Naturalgas,ISNE,60,FALSE,FALSE,7.736,3.812,0,ISNE_natural_gas_fired_combined_cycle_1,0,0,0,FALSE,.,.,1,.,.,.,.,.,.,Naturalgas,13445.9
ISNE_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,Naturalgas,ISNE,50,FALSE,FALSE,10.77,5.279,0,ISNE_natural_gas_fired_combustion_turbine_1,0,0,0,FALSE,.,.,1,.,.,.,.,.,.,Naturalgas,1753.4
ISNE_natural_gas_internal_combustion_engine_1,Natural Gas Internal Combustion Engine,Naturalgas,ISNE,60,FALSE,FALSE,8.376,4.308,0,ISNE_natural_gas_internal_combustion_engine_1,0,0,0,FALSE,.,.,1,.,.,.,.,.,.,Naturalgas,52.4
ISNE_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,Naturalgas,ISNE,50,FALSE,FALSE,9.381,1.056,0,ISNE_natural_gas_steam_turbine_1,0,0,0,FALSE,.,.,1,.,.,.,.,.,.,Naturalgas,10.2
ISNE_nuclear_1,Nuclear,Uranium,ISNE,80,FALSE,FALSE,10.446,2.841,0,ISNE_nuclear_1,0,0,0,FALSE,.,.,1,.,.,.,.,.,.,Nuclear,3348.1
ISNE_onshore_wind_turbine_1,Onshore Wind Turbine,Wind,ISNE,30,TRUE,FALSE,.,0,0,ISNE_onshore_wind_turbine_1,0,0,0,FALSE,.,.,1,.,.,.,.,.,.,Wind,39.8
ISNE_petroleum_liquids_1,Petroleum Liquids,Distillate,ISNE,40,FALSE,FALSE,11.576,5.955,0,ISNE_petroleum_liquids_1,0,0,0,FALSE,.,.,1,.,.,.,.,.,.,Petroleum,392.4
ISNE_small_hydroelectric_1,Small Hydroelectric,Water,ISNE,100,FALSE,TRUE,.,0,0,ISNE_small_hydroelectric_1,0,0,0,FALSE,.,.,1,.,.,.,.,.,.,Hydro,449.8
ISNE_solar_photovoltaic_1,Solar Photovoltaic,Solar,ISNE,30,TRUE,FALSE,.,0,0,ISNE_solar_photovoltaic_1,0,0,0,FALSE,.,.,1,.,.,.,.,.,.,Solar,1159.8
