hydro_project,timeseries,hydro_min_flow_mw,hydro_avg_flow_mw
FRCC_conventional_hydroelectric_1,2050_p48,12.1452,12.60384017857143
ISNE_conventional_hydroelectric_1,2050_p48,209.2039969715389,219.52455537437982
MISC_conventional_hydroelectric_1,2050_p48,64.51648746953481,73.52732458650256
MISS_conventional_hydroelectric_1,2050_p48,39.87532181818182,43.104379274891784
MISW_conventional_hydroelectric_1,2050_p48,19.47481029170006,19.889144276143593
NWPP_conventional_hydroelectric_1,2050_p48,12249.458004023636,13227.358944134987
NYUP_conventional_hydroelectric_1,2050_p48,2007.4632556109734,2036.3622277063446
PJMC_conventional_hydroelectric_1,2050_p48,3.05968,3.288102380952381
PJMD_conventional_hydroelectric_1,2050_p48,30.28714,31.893972916666666
PJME_conventional_hydroelectric_1,2050_p48,225.27200386416465,235.3548096419801
PJMW_conventional_hydroelectric_1,2050_p48,174.88293916650954,181.9021864872085
RMRG_conventional_hydroelectric_1,2050_p48,29.175240893814106,48.77777006926993
SPPC_conventional_hydroelectric_1,2050_p48,2.2256,2.5003333333333333
SPPN_conventional_hydroelectric_1,2050_p48,783.4812209769573,882.3290187828195
SPPS_conventional_hydroelectric_1,2050_p48,63.70496,67.86211369047619
SRCA_conventional_hydroelectric_1,2050_p48,117.83186999999998,122.63414583333332
SRCE_conventional_hydroelectric_1,2050_p48,836.6100857403524,851.4761756099685
SRSE_conventional_hydroelectric_1,2050_p48,465.19956,501.3871775
SRSG_conventional_hydroelectric_1,2050_p48,462.7612474736425,471.2003654012814
TRE_conventional_hydroelectric_1,2050_p48,7.0368341999999995,7.650849741071428
BASN_conventional_hydroelectric_1,2050_p5,482.5335023173997,490.08884747609955
CANO_conventional_hydroelectric_1,2050_p5,888.7306516381097,913.8783982742576
CASO_conventional_hydroelectric_1,2050_p5,124.61613599395064,130.30131198660555
FRCC_conventional_hydroelectric_1,2050_p5,16.22115,17.742070535714287
ISNE_conventional_hydroelectric_1,2050_p5,208.2855807766926,216.71650464340973
MISC_conventional_hydroelectric_1,2050_p5,89.02461058233237,93.68109822272355
MISS_conventional_hydroelectric_1,2050_p5,252.1762351515152,255.36719961760468
MISW_conventional_hydroelectric_1,2050_p5,18.33585781373784,20.187621230210564
NWPP_conventional_hydroelectric_1,2050_p5,11461.862817838717,11625.997137546503
NYUP_conventional_hydroelectric_1,2050_p5,2521.7990554724042,2533.4436842428336
PJMC_conventional_hydroelectric_1,2050_p5,2.9598400000000002,3.331578095238095
