GENERATION_PROJECT,build_year,build_gen_predetermined,gen_predetermined_storage_energy_mwh
CANO_conventional_hydroelectric_1,1984,165.0,.
CANO_conventional_hydroelectric_1,1985,14.4,.
CANO_conventional_hydroelectric_1,1986,20.0,.
CANO_conventional_hydroelectric_1,2017,7.3,.
CANO_conventional_hydroelectric_1,1990,0.8,.
CANO_hydroelectric_pumped_storage_1,1987,199.8,3096.9
CANO_hydroelectric_pumped_storage_1,1968,435.3,6747.15
CANO_hydroelectric_pumped_storage_1,1969,122.6,1900.3
CANO_hydroelectric_pumped_storage_1,1967,307.2,4761.6
CANO_hydroelectric_pumped_storage_1,1984,1212.0,18786
CANO_natural_gas_fired_combined_cycle_1,2002,1903.6,.
CANO_natural_gas_fired_combined_cycle_1,2003,2322.9,.
CANO_natural_gas_fired_combined_cycle_1,2011,46.0,.
CANO_natural_gas_fired_combined_cycle_1,1989,28.0,.
CANO_natural_gas_fired_combined_cycle_1,1995,357.2,.
CANO_natural_gas_fired_combined_cycle_1,1997,296.8,.
CANO_natural_gas_fired_combined_cycle_1,2004,52.2,.
CANO_natural_gas_fired_combined_cycle_1,1990,6.5,.
CANO_natural_gas_fired_combined_cycle_1,1992,104.0,.
CANO_natural_gas_fired_combined_cycle_1,2006,881.0,.
CANO_natural_gas_fired_combined_cycle_1,1996,54.5,.
CANO_natural_gas_fired_combined_cycle_1,2001,1473.0,.
CANO_natural_gas_fired_combined_cycle_1,2005,744.7,.
CANO_natural_gas_fired_combined_cycle_1,2013,774.1,.
CANO_natural_gas_fired_combined_cycle_1,2012,456.8,.
CANO_natural_gas_fired_combined_cycle_1,2007,211.0,.
CANO_natural_gas_fired_combined_cycle_1,2009,585.8,.
CANO_natural_gas_fired_combined_cycle_1,2010,668.0,.
CANO_natural_gas_fired_combustion_turbine_1,2012,373.6,.
CANO_natural_gas_fired_combustion_turbine_1,2001,309.7,.
CANO_natural_gas_fired_combustion_turbine_1,2022,127.2,.
CANO_natural_gas_fired_combustion_turbine_1,2015,4.4,.
CANO_natural_gas_fired_combustion_turbine_1,2002,328.0,.
CANO_natural_gas_fired_combustion_turbine_1,2003,272.3,.
CANO_natural_gas_fired_combustion_turbine_1,2006,100.0,.
CANO_natural_gas_fired_combustion_turbine_1,2005,96.0,.
CANO_natural_gas_fired_combustion_turbine_1,2009,532.0,.
CANO_natural_gas_fired_combustion_turbine_1,2013,804.8,.
CANO_natural_gas_fired_combustion_turbine_1,2016,1.8,.
CANO_natural_gas_internal_combustion_engine_1,2010,152.7,.
CANO_natural_gas_internal_combustion_engine_1,2011,65.5,.
CANO_natural_gas_internal_combustion_engine_1,2004,1.0,.
CANO_natural_gas_internal_combustion_engine_1,2001,94.4,.
CANO_natural_gas_internal_combustion_engine_1,1997,1.6,.
CANO_natural_gas_internal_combustion_engine_1,2008,4.2,.
CANO_natural_gas_internal_combustion_engine_1,2002,4.4,.
CANO_natural_gas_internal_combustion_engine_1,2003,1.5,.
CANO_natural_gas_internal_combustion_engine_1,2007,1.0,.
CANO_natural_gas_internal_combustion_engine_1,2023,94.8,.
CANO_onshore_wind_turbine_1,2022,5.6,.
CANO_onshore_wind_turbine_1,2021,56.2,.
CANO_petroleum_liquids_1,2014,25.3,.
CANO_petroleum_liquids_1,2017,27.6,.
CANO_petroleum_liquids_1,2015,50.5,.
CANO_petroleum_liquids_1,2011,45.0,.
CANO_small_hydroelectric_1,1980,24.4,.
CANO_small_hydroelectric_1,1979,21.0,.
CANO_small_hydroelectric_1,1981,0.9,.
CANO_small_hydroelectric_1,1965,59.8,.
CANO_small_hydroelectric_1,1963,28.5,.
