timepoint_id,tp_to_hts
147,2050_p42
148,2050_p42
149,2050_p42
150,2050_p42
151,2050_p42
152,2050_p42
153,2050_p42
154,2050_p42
155,2050_p42
156,2050_p42
157,2050_p42
158,2050_p42
159,2050_p42
160,2050_p42
161,2050_p42
162,2050_p42
163,2050_p42
164,2050_p42
165,2050_p42
166,2050_p42
167,2050_p42
168,2050_p42
169,2050_p33
170,2050_p33
171,2050_p33
172,2050_p33
173,2050_p33
174,2050_p33
175,2050_p33
176,2050_p33
177,2050_p33
178,2050_p33
179,2050_p33
180,2050_p33
181,2050_p33
182,2050_p33
183,2050_p33
184,2050_p33
185,2050_p33
186,2050_p33
187,2050_p33
188,2050_p33
189,2050_p33
190,2050_p33
191,2050_p33
192,2050_p33
193,2050_p33
194,2050_p33
195,2050_p33
196,2050_p33
197,2050_p33
198,2050_p33
199,2050_p33
200,2050_p33
201,2050_p33
202,2050_p33
203,2050_p33
204,2050_p33
205,2050_p33
206,2050_p33
207,2050_p33
208,2050_p33
209,2050_p33
210,2050_p33
211,2050_p33
212,2050_p33
213,2050_p33
214,2050_p33
215,2050_p33
216,2050_p33
217,2050_p33
218,2050_p33
219,2050_p33
220,2050_p33
221,2050_p33
222,2050_p33
223,2050_p33
224,2050_p33
225,2050_p33
226,2050_p33
227,2050_p33
228,2050_p33
229,2050_p33
230,2050_p33
231,2050_p33
232,2050_p33
233,2050_p33
234,2050_p33
235,2050_p33
236,2050_p33
237,2050_p33
238,2050_p33
239,2050_p33
240,2050_p33
241,2050_p33
242,2050_p33
243,2050_p33
244,2050_p33
245,2050_p33
246,2050_p33
247,2050_p33
248,2050_p33
249,2050_p33
250,2050_p33
251,2050_p33
252,2050_p33
253,2050_p33
254,2050_p33
255,2050_p33
256,2050_p33
257,2050_p33
258,2050_p33
259,2050_p33
260,2050_p33
261,2050_p33
262,2050_p33
263,2050_p33
264,2050_p33
265,2050_p33
266,2050_p33
267,2050_p33
268,2050_p33
269,2050_p33
270,2050_p33
271,2050_p33
272,2050_p33
273,2050_p33
274,2050_p33
275,2050_p33
276,2050_p33
277,2050_p33
278,2050_p33
279,2050_p33
280,2050_p33
281,2050_p33
282,2050_p33
283,2050_p33
284,2050_p33
285,2050_p33
286,2050_p33
287,2050_p33
288,2050_p33
289,2050_p33
290,2050_p33
291,2050_p33
292,2050_p33
293,2050_p33
294,2050_p33
295,2050_p33
296,2050_p33
297,2050_p33
298,2050_p33
299,2050_p33
300,2050_p33
301,2050_p33
302,2050_p33
303,2050_p33
304,2050_p33
305,2050_p33
306,2050_p33
307,2050_p33
308,2050_p33
309,2050_p33
310,2050_p33
311,2050_p33
312,2050_p33
313,2050_p33
314,2050_p33
315,2050_p33
316,2050_p33
317,2050_p33
318,2050_p33
319,2050_p33
320,2050_p33
321,2050_p33
322,2050_p33
323,2050_p33
324,2050_p33
325,2050_p33
326,2050_p33
327,2050_p33
328,2050_p33
329,2050_p33
330,2050_p33
331,2050_p33
332,2050_p33
333,2050_p33
334,2050_p33
335,2050_p33
336,2050_p33
337,2050_p5
338,2050_p5
339,2050_p5
340,2050_p5
341,2050_p5
342,2050_p5
343,2050_p5
344,2050_p5
345,2050_p5
346,2050_p5
347,2050_p5
348,2050_p5
349,2050_p5
350,2050_p5
