LOAD_ZONE,TIMEPOINT,zone_demand_mw
BASN,811,29306
BASN,812,32073
BASN,813,32819
BASN,814,29274
BASN,815,25318
BASN,816,23398
BASN,817,21365
BASN,818,19610
BASN,819,19013
BASN,820,19806
BASN,821,18373
BASN,822,18375
BASN,823,18191
BASN,824,18512
BASN,825,19586
BASN,826,20570
BASN,827,21231
BASN,828,22751
BASN,829,24488
BASN,830,26016
BASN,831,27693
BASN,832,29013
BASN,833,29274
BASN,834,29605
BASN,835,30161
BASN,836,30831
BASN,837,30518
BASN,838,32572
BASN,839,32520
BASN,840,30376
BASN,841,26706
BASN,842,24065
BASN,843,21438
BASN,844,19108
BASN,845,17874
BASN,846,17799
BASN,847,17509
BASN,848,17244
BASN,849,17535
BASN,850,17941
BASN,851,18483
BASN,852,20322
BASN,853,22081
BASN,854,23996
BASN,855,25569
BASN,856,26945
BASN,857,27418
BASN,858,28087
BASN,859,28934
BASN,860,29781
BASN,861,29517
BASN,862,30627
BASN,863,30352
BASN,864,28988
BASN,865,26590
BASN,866,23872
BASN,867,20665
BASN,868,16879
BASN,869,16247
BASN,870,15879
BASN,871,16092
BASN,872,16048
BASN,873,16656
BASN,874,17793
BASN,875,19604
BASN,876,20544
BASN,877,20996
BASN,878,22029
BASN,879,23160
BASN,880,24007
BASN,881,24514
BASN,882,26296
BASN,883,29474
BASN,884,32811
BASN,885,33724
BASN,886,29648
BASN,887,25151
BASN,888,23795
BASN,889,21804
BASN,890,19720
BASN,891,18269
BASN,892,17134
BASN,893,16519
BASN,894,16175
BASN,895,16423
BASN,896,17053
BASN,897,18697
BASN,898,20672
BASN,899,22468
BASN,900,23185
BASN,901,23680
BASN,902,24864
BASN,903,26199
BASN,904,27468
BASN,905,28304
BASN,906,30263
BASN,907,33509
BASN,908,36432
BASN,909,37210
BASN,910,32319
BASN,911,27252
BASN,912,25706
BASN,913,23208
BASN,914,20871
BASN,915,19248
BASN,916,18080
BASN,917,17361
BASN,918,16896
BASN,919,17028
BASN,920,17436
BASN,921,19029
BASN,922,21056
BASN,923,23023
BASN,924,23801
BASN,925,24350
BASN,926,25637
BASN,927,27478
BASN,928,28618
BASN,929,29601
BASN,930,31615
BASN,931,35182
BASN,932,38408
BASN,933,39181
BASN,934,34058
BASN,935,28682
BASN,936,26789
BASN,937,24265
BASN,938,21796
BASN,939,20045
BASN,940,18651
BASN,941,17804
BASN,942,17288
BASN,943,17374
BASN,944,17823
BASN,945,19379
BASN,946,21519
BASN,947,23789
BASN,948,24837
BASN,949,25598
BASN,950,27094
BASN,951,28834
BASN,952,30304
BASN,953,31487
BASN,954,33744
BASN,955,37504
BASN,956,40987
BASN,957,41536
BASN,958,36312
BASN,959,30669
BASN,960,28537
BASN,961,25840
BASN,962,22988
BASN,963,20879
BASN,964,19339
BASN,965,18436
BASN,966,17820
BASN,967,17789
BASN,968,18091
BASN,969,19591
BASN,970,21817
BASN,971,24261
BASN,972,25384
BASN,973,26262
BASN,974,27979
BASN,975,29618
BASN,976,31161
BASN,977,32415
BASN,978,34502
BASN,979,37855
BASN,980,40936
BASN,981,41128
BASN,982,35699
BASN,983,30706
BASN,984,28732
BASN,985,26141
BASN,986,23543
BASN,987,22190
BASN,988,22270
BASN,989,20448
BASN,990,19997
BASN,991,19566
BASN,992,19060
BASN,993,19217
BASN,994,19848
BASN,995,21381
BASN,996,23837
BASN,997,26709
BASN,998,29494
BASN,999,31911
BASN,1000,33949
BASN,1001,34595
BASN,1002,35318
BASN,1003,36115
BASN,1004,36425
BASN,1005,35126
BASN,1006,35796
BASN,1007,35329
BASN,1008,33429
BASN,1009,29116
BASN,1010,26749
BASN,1011,24052
BASN,1012,21750
BASN,1013,20566
BASN,1014,20552
BASN,1015,20475
BASN,1016,20616
BASN,1017,21409
BASN,1018,22424
BASN,1019,23036
BASN,1020,24152
BASN,1021,25503
BASN,1022,26885
BASN,1023,28410
BASN,1024,29806
BASN,1025,29966
BASN,1026,30483
BASN,1027,31217
BASN,1028,32414
BASN,1029,33432
BASN,1030,34543
BASN,1031,33658
BASN,1032,32015
BASN,1033,29752
BASN,1034,26884
BASN,1035,23399
BASN,1036,19748
BASN,1037,19366
BASN,1038,19244
BASN,1039,19567
BASN,1040,20496
BASN,1041,23299
BASN,1042,26423
BASN,1043,27316
BASN,1044,26653
BASN,1045,26300
BASN,1046,26593
BASN,1047,27297
BASN,1048,27690
BASN,1049,27885
BASN,1050,29096
BASN,1051,32459
BASN,1052,36363
BASN,1053,38538
BASN,1054,34045
BASN,1055,29261
BASN,1056,27040
BASN,1057,24613
BASN,1058,22513
BASN,1059,21262
BASN,1060,20353
BASN,1061,20102
BASN,1062,19959
BASN,1063,20344
BASN,1064,21254
BASN,1065,23984
BASN,1066,27299
BASN,1067,27953
BASN,1068,27137
BASN,1069,26383
BASN,1070,26447
BASN,1071,26962
BASN,1072,27568
BASN,1073,27724
BASN,1074,29061
BASN,1075,32006
BASN,1076,35580
BASN,1077,38097
BASN,1078,33579
BASN,1079,28712
