timepoint_id,timestamp,timeseries
255,2030_p35_86,2030_p35
256,2030_p35_87,2030_p35
257,2030_p35_88,2030_p35
258,2030_p35_89,2030_p35
259,2030_p35_90,2030_p35
260,2030_p35_91,2030_p35
261,2030_p35_92,2030_p35
262,2030_p35_93,2030_p35
263,2030_p35_94,2030_p35
264,2030_p35_95,2030_p35
265,2030_p35_96,2030_p35
266,2030_p35_97,2030_p35
267,2030_p35_98,2030_p35
268,2030_p35_99,2030_p35
269,2030_p35_100,2030_p35
270,2030_p35_101,2030_p35
271,2030_p35_102,2030_p35
272,2030_p35_103,2030_p35
273,2030_p35_104,2030_p35
274,2030_p35_105,2030_p35
275,2030_p35_106,2030_p35
276,2030_p35_107,2030_p35
277,2030_p35_108,2030_p35
278,2030_p35_109,2030_p35
279,2030_p35_110,2030_p35
280,2030_p35_111,2030_p35
281,2030_p35_112,2030_p35
282,2030_p35_113,2030_p35
283,2030_p35_114,2030_p35
284,2030_p35_115,2030_p35
285,2030_p35_116,2030_p35
286,2030_p35_117,2030_p35
287,2030_p35_118,2030_p35
288,2030_p35_119,2030_p35
289,2030_p35_120,2030_p35
290,2030_p35_121,2030_p35
291,2030_p35_122,2030_p35
292,2030_p35_123,2030_p35
293,2030_p35_124,2030_p35
294,2030_p35_125,2030_p35
295,2030_p35_126,2030_p35
296,2030_p35_127,2030_p35
297,2030_p35_128,2030_p35
298,2030_p35_129,2030_p35
299,2030_p35_130,2030_p35
300,2030_p35_131,2030_p35
301,2030_p35_132,2030_p35
302,2030_p35_133,2030_p35
303,2030_p35_134,2030_p35
304,2030_p35_135,2030_p35
305,2030_p35_136,2030_p35
306,2030_p35_137,2030_p35
307,2030_p35_138,2030_p35
308,2030_p35_139,2030_p35
309,2030_p35_140,2030_p35
310,2030_p35_141,2030_p35
311,2030_p35_142,2030_p35
312,2030_p35_143,2030_p35
313,2030_p35_144,2030_p35
314,2030_p35_145,2030_p35
315,2030_p35_146,2030_p35
316,2030_p35_147,2030_p35
317,2030_p35_148,2030_p35
318,2030_p35_149,2030_p35
319,2030_p35_150,2030_p35
320,2030_p35_151,2030_p35
321,2030_p35_152,2030_p35
322,2030_p35_153,2030_p35
323,2030_p35_154,2030_p35
324,2030_p35_155,2030_p35
325,2030_p35_156,2030_p35
326,2030_p35_157,2030_p35
327,2030_p35_158,2030_p35
328,2030_p35_159,2030_p35
329,2030_p35_160,2030_p35
330,2030_p35_161,2030_p35
331,2030_p35_162,2030_p35
332,2030_p35_163,2030_p35
333,2030_p35_164,2030_p35
334,2030_p35_165,2030_p35
335,2030_p35_166,2030_p35
336,2030_p35_167,2030_p35
337,2030_p20_0,2030_p20
338,2030_p20_1,2030_p20
339,2030_p20_2,2030_p20
340,2030_p20_3,2030_p20
341,2030_p20_4,2030_p20
342,2030_p20_5,2030_p20
343,2030_p20_6,2030_p20
344,2030_p20_7,2030_p20
345,2030_p20_8,2030_p20
346,2030_p20_9,2030_p20
347,2030_p20_10,2030_p20
348,2030_p20_11,2030_p20
349,2030_p20_12,2030_p20
350,2030_p20_13,2030_p20
351,2030_p20_14,2030_p20
352,2030_p20_15,2030_p20
353,2030_p20_16,2030_p20
354,2030_p20_17,2030_p20
355,2030_p20_18,2030_p20
356,2030_p20_19,2030_p20
357,2030_p20_20,2030_p20
358,2030_p20_21,2030_p20
359,2030_p20_22,2030_p20
360,2030_p20_23,2030_p20
361,2030_p20_24,2030_p20
362,2030_p20_25,2030_p20
363,2030_p20_26,2030_p20
364,2030_p20_27,2030_p20
365,2030_p20_28,2030_p20
366,2030_p20_29,2030_p20
367,2030_p20_30,2030_p20
368,2030_p20_31,2030_p20
369,2030_p20_32,2030_p20
370,2030_p20_33,2030_p20
371,2030_p20_34,2030_p20
372,2030_p20_35,2030_p20
