region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
SPPN,SPPN_natural_gas_internal_combustion_engine_1,19,1,211,0.0,0.0,6.87519e6,0.0,592240.4121131442,4.384079932873443e6,0.0,0.0,0.0,9.421637005031069e7,0.0,0.0,0.0,1.2210985891772445e7,0.0,9.421637005031069e7,2.4062496236759033e7,7.015387381355165e7
SPPN,SPPN_natural_gas_steam_turbine_1,19,1,212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPPN,SPPN_nuclear_1,19,1,213,0.0,0.0,2.6485228000000003e8,0.0,1.3019242188537814e7,3.544992952252221e7,0.0,0.0,0.0,5.2562438622911614e8,0.0,0.0,0.0,0.0,0.0,5.2562438622911614e8,3.1332145171106005e8,2.123029345180561e8
SPPN,SPPN_onshore_wind_turbine_1,19,1,214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPPN,SPPN_petroleum_liquids_1,19,1,215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPPN,SPPN_small_hydroelectric_1,19,1,216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPPN,SPPN_solar_photovoltaic_1,19,1,217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPPS,SPPS_biomass_1,20,1,218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPPS,SPPS_conventional_hydroelectric_1,20,1,219,0.0,0.0,8.51474704e7,0.0,0.0,0.0,0.0,0.0,0.0,1.567179853399039e8,0.0,0.0,0.0,0.0,0.0,1.567179853399039e8,8.51474704e7,7.157051493990389e7
SPPS,SPPS_conventional_steam_coal_1,20,1,220,0.0,0.0,6.68718e7,0.0,178714.60761755725,1.715774306282338e6,0.0,0.0,0.0,1.854742386417988e8,0.0,0.0,0.0,1.9395356418472107e7,0.0,1.854742386417988e8,8.816164533237201e7,9.731259330942678e7
SPPS,SPPS_hydroelectric_pumped_storage_1,20,1,221,0.0,0.0,2.230122248e7,0.0,0.0,0.0,0.0,0.0,1.6245875778920552e7,1.417647255436837e8,0.0,0.0,0.0,0.0,0.0,1.417647255436837e8,3.854709825892055e7,1.0321762728476316e8
SPPS,SPPS_natural_gas_fired_combined_cycle_1,20,1,222,0.0,0.0,1.0913502006e8,0.0,3.416721294494943e7,2.3471162424985027e8,0.0,0.0,0.0,2.6881534779719667e9,0.0,0.0,0.0,7.136847439940989e8,0.0,2.6881534779719667e9,1.0916986012488985e9,1.5964548767230682e9
SPPS,SPPS_natural_gas_fired_combustion_turbine_1,20,1,223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPPS,SPPS_natural_gas_internal_combustion_engine_1,20,1,224,0.0,0.0,8.8326e6,0.0,456948.8512430207,3.1007230017739576e6,0.0,0.0,0.0,8.984104218923812e7,0.0,0.0,0.0,9.428330227743603e6,0.0,8.984104218923812e7,2.1818602080760583e7,6.802244010847753e7
SPPS,SPPS_onshore_wind_turbine_1,20,1,225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPPS,SPPS_petroleum_liquids_1,20,1,226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPPS,SPPS_small_hydroelectric_1,20,1,227,0.0,0.0,1.4664861600000001e6,0.0,0.0,0.0,0.0,0.0,0.0,1.946067237920928e7,0.0,0.0,0.0,0.0,0.0,1.946067237920928e7,1.4664861600000001e6,1.799418621920928e7
SPPS,SPPS_solar_photovoltaic_1,20,1,228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRCA,SRCA_biomass_1,21,1,229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRCA,SRCA_conventional_hydroelectric_1,21,1,230,0.0,0.0,4.85017832e7,0.0,0.0,0.0,0.0,0.0,0.0,1.8310967721746862e8,0.0,0.0,0.0,0.0,0.0,1.8310967721746862e8,4.85017832e7,1.3460789401746863e8
SRCA,SRCA_conventional_steam_coal_1,21,1,231,0.0,0.0,1.65721283e8,0.0,385617.16624721896,4.940617384785527e6,0.0,0.0,0.0,5.379011181048912e8,0.0,0.0,0.0,4.2516015549073204e7,0.0,5.379011181048912e8,2.1356353310010594e8,3.2433758500478524e8
SRCA,SRCA_hydroelectric_pumped_storage_1,21,1,232,0.0,0.0,1.3154620800000001e8,0.0,0.0,0.0,0.0,0.0,1.6925297215863177e8,9.512274772715362e8,0.0,0.0,0.0,0.0,0.0,9.512274772715362e8,3.007991801586318e8,6.504282971129044e8
SRCA,SRCA_natural_gas_fired_combined_cycle_1,21,1,233,0.0,0.0,1.0142210600000001e8,0.0,3.884253190978928e7,3.0748772678213143e8,0.0,0.0,0.0,3.21584816034782e9,0.0,0.0,0.0,8.198642604552727e8,0.0,3.21584816034782e9,1.2676166251471934e9,1.9482315352006264e9
SRCA,SRCA_natural_gas_fired_combustion_turbine_1,21,1,234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRCA,SRCA_natural_gas_steam_turbine_1,21,1,235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRCA,SRCA_nuclear_1,21,1,236,0.0,0.0,2.6228610417999997e9,0.0,2.6623271836152998e8,7.249216940456712e8,0.0,0.0,0.0,8.927477994494272e9,0.0,0.0,0.0,0.0,0.0,8.927477994494272e9,3.614015454207201e9,5.313462540287071e9
SRCA,SRCA_petroleum_liquids_1,21,1,237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
