region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
FRCC,FRCC_natural_gas_internal_combustion_engine_1,4,1,38,0.0,0.0,5.268900000000001e6,0.0,2.8954487373633446,22.401572735877316,0.0,0.0,0.0,55.69859973102107,0.0,0.0,0.0,59.73002258118836,0.0,55.69859973102107,5.268985027044056e6,-5.268929328444325e6
FRCC,FRCC_natural_gas_steam_turbine_1,4,1,39,0.0,0.0,1.0452e7,0.0,0.3155756992728449,13.413038985621773,0.0,0.0,0.0,20.15154763295027,0.0,0.0,0.0,35.76361048126072,0.0,20.15154763295027,1.0452049492225165e7,-1.0452029340677531e7
FRCC,FRCC_nuclear_1,4,1,40,0.0,0.0,7.22268675e8,0.0,6.323321518472973e7,1.721769200787028e8,0.0,0.0,0.0,1.7798055503096242e9,0.0,0.0,0.0,0.0,0.0,1.7798055503096242e9,9.576788102634325e8,8.221267400461917e8
FRCC,FRCC_petroleum_liquids_1,4,1,41,0.0,0.0,84000.0,0.0,0.4626127703677582,19.848828856526385,0.0,0.0,0.0,2.7292604542322834,0.0,0.0,0.0,13.163570542655533,0.0,2.7292604542322834,84033.47501216955,-84030.74575171532
FRCC,FRCC_solar_photovoltaic_1,4,1,42,0.0,0.0,1.329712071e8,0.0,0.0,0.0,0.0,0.0,0.0,2.927486781692089e8,0.0,0.0,0.0,0.0,0.0,2.927486781692089e8,1.329712071e8,1.597774710692089e8
ISNE,ISNE_biomass_1,5,1,43,0.0,0.0,4.706519999999999e6,0.0,1.439133696000004e6,3.3498017280000467e6,0.0,0.0,0.0,1.438221690405759e7,0.0,0.0,0.0,0.0,0.0,1.438221690405759e7,9.49545542400005e6,4.886761480057539e6
ISNE,ISNE_conventional_hydroelectric_1,5,1,44,0.0,0.0,2.1867910400000002e7,0.0,0.0,0.0,0.0,0.0,0.0,8.405685146933599e7,0.0,0.0,0.0,0.0,0.0,8.405685146933599e7,2.1867910400000002e7,6.218894106933598e7
ISNE,ISNE_hydroelectric_pumped_storage_1,5,1,45,0.0,0.0,8.3180864e7,0.0,0.0,0.0,0.0,0.0,3.183441777910924e7,1.4151125828203517e8,0.0,0.0,0.0,0.0,0.0,1.4151125828203517e8,1.1501528177910924e8,2.6495976502925932e7
ISNE,ISNE_natural_gas_fired_combined_cycle_1,5,1,46,0.0,0.0,1.4996172600000003e8,0.0,1.1198083414450398e7,7.82560865511262e7,0.0,0.0,0.0,3.3774665900427234e8,0.0,0.0,0.0,2.41410927465276e8,0.0,3.3774665900427234e8,4.8082682343085265e8,-1.430801644265803e8
ISNE,ISNE_natural_gas_fired_combustion_turbine_1,5,1,47,0.0,0.0,1.97836122e7,0.0,1.8507960087224793,12.98669908484041,0.0,0.0,0.0,23.571645896828574,0.0,0.0,0.0,40.0624565954438,0.0,23.571645896828574,1.9783667099951692e7,-1.9783643528305795e7
ISNE,ISNE_natural_gas_internal_combustion_engine_1,5,1,48,0.0,0.0,1.1003999999999998e6,0.0,3.4309840476627467,22.947949730576312,0.0,0.0,0.0,67.0542758536314,0.0,0.0,0.0,70.79175655258018,0.0,67.0542758536314,1.1004971706903307e6,-1.1004301164144771e6
ISNE,ISNE_natural_gas_steam_turbine_1,5,1,49,0.0,0.0,523290.5999999999,0.0,0.5812284212487024,17.693031805769913,0.0,0.0,0.0,41.869079867746066,0.0,0.0,0.0,54.580945791520364,0.0,41.869079867746066,523363.4552060184,-523321.5861261507
ISNE,ISNE_nuclear_1,5,1,50,0.0,0.0,7.495860204e8,0.0,5.133971168410931e7,1.397922501595832e8,0.0,0.0,0.0,1.5122051869728386e9,0.0,0.0,0.0,0.0,0.0,1.5122051869728386e9,9.407179822436925e8,5.714872047291461e8
ISNE,ISNE_onshore_wind_turbine_1,5,1,51,0.0,0.0,1.7113999999999998e6,0.0,0.0,0.0,0.0,0.0,0.0,1.764649965962713e6,0.0,0.0,0.0,0.0,0.0,1.764649965962713e6,1.7113999999999998e6,53249.96596271312
ISNE,ISNE_petroleum_liquids_1,5,1,52,0.0,0.0,8.2404e6,0.0,0.520941462288135,20.192687509944193,0.0,0.0,0.0,4.50916330190421,0.0,0.0,0.0,14.807970840625764,0.0,4.50916330190421,8.240435521599812e6,-8.24043101243651e6
ISNE,ISNE_small_hydroelectric_1,5,1,53,0.0,0.0,9.3249136e6,0.0,0.0,0.0,0.0,0.0,0.0,9.136395482000712e7,0.0,0.0,0.0,0.0,0.0,9.136395482000712e7,9.3249136e6,8.203904122000712e7
ISNE,ISNE_solar_photovoltaic_1,5,1,54,0.0,0.0,2.62381554e7,0.0,0.0,0.0,0.0,0.0,0.0,6.631559107848989e7,0.0,0.0,0.0,0.0,0.0,6.631559107848989e7,2.62381554e7,4.007743567848989e7
MISC,MISC_biomass_1,6,1,55,0.0,0.0,8.11573e6,0.0,2.072685888000009e6,4.822167167999843e6,0.0,0.0,0.0,2.133121533384308e7,0.0,0.0,0.0,0.0,0.0,2.133121533384308e7,1.5010583055999853e7,6.320632277843226e6
MISC,MISC_conventional_hydroelectric_1,6,1,56,0.0,0.0,1.3013476800000003e7,0.0,0.0,0.0,0.0,0.0,0.0,3.96592453972541e7,0.0,0.0,0.0,0.0,0.0,3.96592453972541e7,1.3013476800000003e7,2.6645768597254097e7
MISC,MISC_conventional_steam_coal_1,6,1,57,0.0,0.0,1.669635e8,0.0,0.4013041751464955,3.721583921281436,0.0,0.0,0.0,11.180918978026273,0.0,0.0,0.0,39.71907219673781,0.0,11.180918978026273,1.669635438419603e8,-1.6696353266104132e8
MISC,MISC_hydroelectric_pumped_storage_1,6,1,58,0.0,0.0,2.2159608e7,0.0,0.0,0.0,0.0,0.0,6.836906632916846e6,5.033712267817882e7,0.0,0.0,0.0,0.0,0.0,5.033712267817882e7,2.8996514632916845e7,2.134060804526197e7
MISC,MISC_natural_gas_fired_combined_cycle_1,6,1,59,0.0,0.0,5.460216400000001e7,0.0,7.751197501767941e6,4.65906753028475e7,0.0,0.0,0.0,2.290006963037027e8,0.0,0.0,0.0,1.6210499879141593e8,0.0,2.290006963037027e8,2.7104903559603137e8,-4.2048339292328656e7
